RY_External_ID__c,Offering_Key,Start_Date__c
RY-INTAKE-003,RY-OFFER-003,2027-03-01
RY-INTAKE-009,RY-OFFER-009,2027-02-15
RY-INTAKE-012,RY-OFFER-012,2027-02-15
RY-INTAKE-013,RY-OFFER-013,2027-02-15
RY-INTAKE-014,RY-OFFER-014,2027-02-15
RY-INTAKE-016,RY-OFFER-016,2026-09-14
RY-INTAKE-017,RY-OFFER-017,2026-09-21
RY-INTAKE-018,RY-OFFER-018,2026-09-21
RY-INTAKE-019,RY-OFFER-019,2026-09-21
RY-INTAKE-020,RY-OFFER-020,2026-09-28
RY-INTAKE-021,RY-OFFER-021,2026-09-28
RY-INTAKE-022,RY-OFFER-022,2026-09-28
RY-INTAKE-023,RY-OFFER-023,2026-09-28
RY-INTAKE-024,RY-OFFER-024,2026-09-28
RY-INTAKE-025,RY-OFFER-025,2026-09-28
RY-INTAKE-026,RY-OFFER-026,2026-10-05
RY-INTAKE-027,RY-OFFER-027,2026-10-05
RY-INTAKE-028,RY-OFFER-028,2026-10-26
RY-INTAKE-029,RY-OFFER-029,2026-10-26
RY-INTAKE-030,RY-OFFER-030,2026-11-02
RY-INTAKE-031,RY-OFFER-031,2026-11-02
RY-INTAKE-032,RY-OFFER-032,2026-11-09
RY-INTAKE-033,RY-OFFER-033,2026-11-09
RY-INTAKE-034,RY-OFFER-034,2026-11-16
RY-INTAKE-035,RY-OFFER-035,2026-11-16
RY-INTAKE-036,RY-OFFER-036,2026-11-23
RY-INTAKE-037,RY-OFFER-037,2027-01-25
RY-INTAKE-038,RY-OFFER-038,2027-01-25
RY-INTAKE-039,RY-OFFER-039,2027-02-01
RY-INTAKE-040,RY-OFFER-040,2027-02-15
RY-INTAKE-041,RY-OFFER-041,2027-02-15
RY-INTAKE-042,RY-OFFER-042,2027-02-15
RY-INTAKE-043,RY-OFFER-043,2027-02-15
RY-INTAKE-044,RY-OFFER-044,2027-02-15
RY-INTAKE-045,RY-OFFER-045,2027-02-15
RY-INTAKE-046,RY-OFFER-046,2027-02-15
RY-INTAKE-047,RY-OFFER-047,2027-02-15
RY-INTAKE-048,RY-OFFER-048,2027-02-22
RY-INTAKE-049,RY-OFFER-049,2027-02-22
RY-INTAKE-050,RY-OFFER-050,2027-02-22
RY-INTAKE-051,RY-OFFER-051,2027-03-01
RY-INTAKE-052,RY-OFFER-052,2027-03-01
RY-INTAKE-053,RY-OFFER-053,2027-03-01
RY-INTAKE-054,RY-OFFER-054,2027-03-01
RY-INTAKE-055,RY-OFFER-055,2027-03-01
RY-INTAKE-056,RY-OFFER-056,2027-03-08
RY-INTAKE-057,RY-OFFER-057,2027-03-23
