RY_External_ID__c,Programme_Key,Title__c,Catalogue_Section__c,Delivery_Mode__c,Study_Pace__c,Duration_Value__c,Duration_Unit__c,Advertised_Fee_ZAR__c,Price_Status__c,Source_URL__c,Source_Refs__c,Observed_Date__c,Notes__c
RY-OFFER-001,RY-PROG-001,Advanced Diploma in Copywriting,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-002,RY-PROG-002,Bachelor of Arts Honours in Visual Communication Design,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-003,RY-PROG-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,
RY-OFFER-004,RY-PROG-004,Bachelor of Arts in Visual Communication,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-005,RY-PROG-005,Bachelor of Business Administration in Marketing and Brand Management,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-006,RY-PROG-006,Bachelor of Commerce in Marketing,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-007,RY-PROG-007,Advanced Diploma in User Centered Design,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-008,RY-PROG-008,Postgraduate Diploma: Creative Leadership,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-009,RY-PROG-009,Higher Certificate in Business Management,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,
RY-OFFER-010,RY-PROG-010,Higher Certificate in Creating Digital Content,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,"A03,A04",2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-011,RY-PROG-011,Higher Certificate in Graphic Design,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,"A03,A04",2026-09-08,No visible start date; no intake fabricated.
RY-OFFER-012,RY-PROG-012,Higher Certificate in Marketing and Branding,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,"A03,A04",2026-09-08,
RY-OFFER-013,RY-PROG-013,Postgraduate Diploma in Management,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A04,2026-09-08,
RY-OFFER-014,RY-PROG-014,Postgraduate Diploma in Digital Marketing,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A04,2026-09-08,
RY-OFFER-015,RY-PROG-015,Advanced Diploma in Marketing & Advertising Communications,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A04,2026-09-08,No visible start date; no intake fabricated.
