RY_External_ID__c,Title__c,Category__c,Credential_Text__c,Listed_Body__c
RY-PROG-001,Advanced Diploma in Copywriting,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-002,Bachelor of Arts Honours in Visual Communication Design,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",Certificate,,Quality Council for Trades and Occupations (QCTO)
RY-PROG-004,Bachelor of Arts in Visual Communication,Degree,,Council on Higher Education (CHE)
RY-PROG-005,Bachelor of Business Administration in Marketing and Brand Management,Degree,,Council on Higher Education (CHE)
RY-PROG-006,Bachelor of Commerce in Marketing,Degree,,Council on Higher Education (CHE)
RY-PROG-007,Advanced Diploma in User Centered Design,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-008,Postgraduate Diploma: Creative Leadership,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-009,Higher Certificate in Business Management,Certificate,,Council on Higher Education (CHE)
RY-PROG-010,Higher Certificate in Creating Digital Content,Certificate,,Council on Higher Education (CHE)
RY-PROG-011,Higher Certificate in Graphic Design,Certificate,,Council on Higher Education (CHE)
RY-PROG-012,Higher Certificate in Marketing and Branding,Certificate,,Council on Higher Education (CHE)
RY-PROG-013,Postgraduate Diploma in Management,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-014,Postgraduate Diploma in Digital Marketing,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-015,Advanced Diploma in Marketing & Advertising Communications,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-016,Design Thinking,Short course,R&Y Certificate of Completion,
RY-PROG-017,Performance Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-018,Graphic Design Beginner,Short course,R&Y Certificate of Completion,
RY-PROG-019,User Experience Design,Short course,R&Y Certificate of Completion,
RY-PROG-020,Business Analysis,Short course,R&Y Certificate of Completion,
RY-PROG-021,Data Analysis,Short course,R&Y Certificate of Completion,
RY-PROG-022,Storytelling for Impact & Influence,Short course,R&Y Certificate of Completion,
RY-PROG-023,Interior Decorating,Short course,R&Y Certificate of Completion,
RY-PROG-024,Creative Thinking,Short course,R&Y Certificate of Completion,
RY-PROG-025,Project Management,Short course,R&Y Certificate of Completion,
RY-PROG-026,Media Planning,Short course,R&Y Certificate of Completion,
RY-PROG-027,Mentorship,Short course,R&Y Certificate of Completion,
RY-PROG-028,Sales & Account Management,Short course,R&Y Certificate of Completion,
RY-PROG-029,Digital Content & Copywriting,Short course,R&Y Certificate of Completion,
RY-PROG-030,Copywriting,Short course,R&Y Certificate of Completion,
RY-PROG-031,Data Visualisation for Designers,Short course,R&Y Certificate of Completion,
RY-PROG-032,Graphic Design Intermediate with Adobe Photoshop,Short course,R&Y Certificate of Completion,
RY-PROG-033,Customer Experience,Short course,R&Y Certificate of Completion,
RY-PROG-034,Data Analysis for Marketers,Short course,R&Y Certificate of Completion,
RY-PROG-035,Marketing Strategy,Short course,R&Y Certificate of Completion,
RY-PROG-036,Digital Marketing Professional,Short course,R&Y Certificate of Completion,
RY-PROG-037,Social Media Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-038,Desktop Publishing with InDesign,Short course,R&Y Certificate of Completion,
RY-PROG-039,Shopper Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-040,Part-Time Postgraduate Diploma in Management,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-041,Part-Time Higher Certificate in Business Management,Certificate,,Council on Higher Education (CHE)
RY-PROG-042,Part-Time Higher Certificate in Marketing and Branding,Certificate,,Council on Higher Education (CHE)
RY-PROG-043,Brand as Capital,Executive education,R&Y Certificate of Completion,
RY-PROG-044,Rebel Leadership,Executive education,R&Y Certificate of Completion,
RY-PROG-045,Management Development Programme: Agency Leadership,Executive education,R&Y Certificate of Completion,
RY-PROG-046,Sports Sponsorship Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-047,Sustainable Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-048,Operational Finance,Short course,R&Y Certificate of Completion,
RY-PROG-049,Part-Time Postgraduate Diploma in Digital Marketing,Postgraduate programme,,Council on Higher Education (CHE)
RY-PROG-050,Part-Time Higher Certificate in Graphic Design,Certificate,,Council on Higher Education (CHE)
RY-PROG-051,Strategic Foresight for Leaders,Executive education,R&Y Certificate of Completion,
RY-PROG-052,AI & Executive Judgement,Executive education,R&Y Certificate of Completion,
RY-PROG-053,People Management,Short course,R&Y Certificate of Completion,
RY-PROG-054,Public Relations,Short course,R&Y Certificate of Completion,
RY-PROG-055,Account Leadership,Short course,R&Y Certificate of Completion,
RY-PROG-056,B2B Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-057,AI for Copywriting,Micro course,,
RY-PROG-058,AI for Design Thinking,Micro course,,
RY-PROG-059,AI for Educators,Micro course,,
RY-PROG-060,AI for HR,Micro course,,
RY-PROG-061,AI for Management Insights,Micro course,,
RY-PROG-062,AI for User Experience,Micro course,,
RY-PROG-063,Prompt Engineering,Micro course,,
RY-PROG-064,Responsible Advertising and the Advertising Regulatory Board,Micro course,,
RY-PROG-065,Responsible Influencer Marketing,Micro course,,
RY-PROG-066,AI for Graphic Designers,Micro course,,
RY-PROG-067,Generative AI for Business,Short course,R&Y Certificate of Completion,
RY-PROG-068,Work Readiness,Short course,R&Y Certificate of Completion,
RY-PROG-069,Instructional Design,Short course,R&Y Certificate of Completion,
RY-PROG-070,Customer Service Course,Short course,R&Y Certificate of Completion,
RY-PROG-071,Digital Marketing,Short course,R&Y Certificate of Completion,
RY-PROG-072,Search Engine Optimisation,Short course,R&Y Certificate of Completion,
RY-PROG-073,Front-End Web Development,Short course,R&Y Certificate of Completion,
RY-PROG-074,Website Design,Short course,R&Y Certificate of Completion,
RY-PROG-075,MarTech & CRM Strategy,Short course,R&Y Certificate of Completion,
RY-PROG-076,ACA Graduate Programme for Agencies,Qualification,,Skills Education Training Authority (SETA)
RY-PROG-077,Part-Time Advanced Diploma in Digital Marketing,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-078,Design Thinking Practitioner,Qualification,,Quality Council for Trades and Occupations (QCTO)
RY-PROG-079,Project Manager,Qualification,,Quality Council for Trades and Occupations (QCTO)
RY-PROG-080,Part-Time Advanced Diploma in User Centered Design,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-081,Part-Time Advanced Diploma in Copywriting,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-082,Part-Time Advanced Diploma in Marketing & Advertising Communications,Advanced diploma,,Council on Higher Education (CHE)
RY-PROG-083,Bachelor of Business Administration: Marketing and Brand Management,Degree,,
