listing_id,programme_name,catalogue_section,proposed_category,study_pace,duration_value,duration_unit,start_date,advertised_fee_zar,price_status,credential_text,listed_body,source_ids,source_url,observed_date,notes
RY-CAT-001,Advanced Diploma in Copywriting,On-campus,Advanced diploma,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),A01,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-002,Bachelor of Arts Honours in Visual Communication Design,On-campus,Postgraduate programme,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),A01,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",On-campus,Certificate,Not stated,1,Years,2027-03-01,,Enquire,,Quality Council for Trades and Occupations (QCTO),A01,https://www.redandyellow.co.za/on-campus,2026-09-08,
RY-CAT-004,Bachelor of Arts in Visual Communication,On-campus,Degree,Not stated,3,Years,,,Enquire,,Council on Higher Education (CHE),A02,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-005,Bachelor of Business Administration in Marketing and Brand Management,On-campus,Degree,Not stated,3,Years,,,Enquire,,Council on Higher Education (CHE),A02,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-006,Bachelor of Commerce in Marketing,On-campus,Degree,Not stated,3,Years,,,Enquire,,Council on Higher Education (CHE),A02,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-007,Advanced Diploma in User Centered Design,On-campus,Advanced diploma,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),A03,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-008,Postgraduate Diploma: Creative Leadership,On-campus,Postgraduate programme,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),A03,https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-009,Higher Certificate in Business Management,On-campus,Certificate,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),A03,https://www.redandyellow.co.za/on-campus,2026-09-08,
RY-CAT-010,Higher Certificate in Creating Digital Content,On-campus,Certificate,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),"A03,A04",https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-011,Higher Certificate in Graphic Design,On-campus,Certificate,Not stated,1,Years,,,Enquire,,Council on Higher Education (CHE),"A03,A04",https://www.redandyellow.co.za/on-campus,2026-09-08,No visible start date; no intake fabricated.
RY-CAT-012,Higher Certificate in Marketing and Branding,On-campus,Certificate,Not stated,1,Years,2027-02-15,,Enquire,,Council on Higher Education (CHE),"A03,A04",https://www.redandyellow.co.za/on-campus,2026-09-08,
