RY_External_ID__c,Name
RY-ACC-0001,Woolworths Holdings
RY-ACC-0002,Discovery Limited
RY-ACC-0003,Capitec Bank
RY-ACC-0004,Takealot Group
RY-ACC-0005,Nando's Group
RY-ACC-0006,Investec
RY-ACC-0007,MultiChoice
RY-ACC-0008,Shoprite Holdings
RY-ACC-0009,Sanlam
RY-ACC-0010,Old Mutual
RY-ACC-0011,Vodacom
RY-ACC-0012,Standard Bank
RY-ACC-0013,Clicks Group
RY-ACC-0014,Tiger Brands
RY-ACC-0015,Distell
RY-ACC-0016,Mediclinic
RY-ACC-0017,Bidvest
RY-ACC-0018,Pick n Pay
RY-ACC-0019,Nedbank
RY-ACC-0020,Telkom
RY-ACC-0021,Momentum Metropolitan
RY-ACC-0022,Aspen Pharmacare
RY-ACC-0023,Dis-Chem
RY-ACC-0024,Massmart
RY-ACC-0025,Cape Union Mart
