RY_External_ID__c,Campaign_Key,Contact_Key,Lead_Key
RY-CM-00570221,RY-CAMP-00000115,,RY-LEAD-01383944
RY-CM-01100048,RY-CAMP-00000227,RY-CONT-00005462,
RY-CM-02135591,RY-CAMP-00000422,,RY-LEAD-00258373
RY-CM-00109806,RY-CAMP-00000029,,RY-LEAD-00303654
RY-CM-00233986,RY-CAMP-00000052,,RY-LEAD-00476382
RY-CM-01531765,RY-CAMP-00000301,RY-CONT-00136916,
RY-CM-02140482,RY-CAMP-00000422,,RY-LEAD-00793936
RY-CM-02271447,RY-CAMP-00000436,RY-CONT-00706485,
RY-CM-01696379,RY-CAMP-00000353,,RY-LEAD-01034363
RY-CM-00054286,RY-CAMP-00000028,,RY-LEAD-00186015
RY-CM-00584163,RY-CAMP-00000115,,RY-LEAD-00783054
RY-CM-01155542,RY-CAMP-00000201,,RY-LEAD-00027439
RY-CM-01181176,RY-CAMP-00000201,,RY-LEAD-00211215
RY-CM-00725696,RY-CAMP-00000122,RY-CONT-00063580,
RY-CM-02443455,RY-CAMP-00000475,RY-CONT-00433930,
RY-CM-00129079,RY-CAMP-00000028,RY-CONT-00519090,
RY-CM-00403461,RY-CAMP-00000048,,RY-LEAD-01404185
RY-CM-01032617,RY-CAMP-00000199,RY-CONT-00533668,
RY-CM-01443847,RY-CAMP-00000245,RY-CONT-00746609,
RY-CM-00159912,RY-CAMP-00000008,,RY-LEAD-00304096
RY-CM-00406468,RY-CAMP-00000057,,RY-LEAD-00097009
RY-CM-01953520,RY-CAMP-00000366,,RY-LEAD-00061098
RY-CM-00198950,RY-CAMP-00000012,RY-CONT-01067588,
RY-CM-00040929,RY-CAMP-00000012,,RY-LEAD-00165405
RY-CM-00152079,RY-CAMP-00000012,,RY-LEAD-01262028
RY-CM-00426834,RY-CAMP-00000105,,RY-LEAD-01066337
RY-CM-00946006,RY-CAMP-00000199,RY-CONT-00086886,
RY-CM-02133995,RY-CAMP-00000422,RY-CONT-00453438,
RY-CM-00179893,RY-CAMP-00000029,RY-CONT-00010754,
RY-CM-00217083,RY-CAMP-00000074,,RY-LEAD-00385423
RY-CM-00797272,RY-CAMP-00000123,RY-CONT-00140728,
RY-CM-01072027,RY-CAMP-00000227,RY-CONT-00086886,
RY-CM-01391881,RY-CAMP-00000245,RY-CONT-00226107,
RY-CM-01335773,RY-CAMP-00000278,,RY-LEAD-00693148
RY-CM-02242220,RY-CAMP-00000439,,RY-LEAD-00142973
RY-CM-01690221,RY-CAMP-00000353,RY-CONT-01031431,
RY-CM-00009574,RY-CAMP-00000035,,RY-LEAD-00766213
RY-CM-00280912,RY-CAMP-00000052,RY-CONT-00865040,
RY-CM-01110023,RY-CAMP-00000227,,RY-LEAD-00925111
RY-CM-00004848,RY-CAMP-00000012,RY-CONT-00569116,
RY-CM-02053006,RY-CAMP-00000366,,RY-LEAD-01383003
RY-CM-01207549,RY-CAMP-00000227,RY-CONT-00684327,
RY-CM-01804843,RY-CAMP-00000331,,RY-LEAD-00218173
RY-CM-01750049,RY-CAMP-00000353,,RY-LEAD-00088686
RY-CM-02065606,RY-CAMP-00000376,,RY-LEAD-00781312
RY-CM-00051226,RY-CAMP-00000004,,RY-LEAD-00114061
RY-CM-00035617,RY-CAMP-00000028,,RY-LEAD-00820557
RY-CM-00138901,RY-CAMP-00000035,RY-CONT-00381855,
RY-CM-01197510,RY-CAMP-00000227,RY-CONT-00529757,
RY-CM-01206342,RY-CAMP-00000227,RY-CONT-00838608,
RY-CM-01344199,RY-CAMP-00000270,,RY-LEAD-00554392
RY-CM-02153439,RY-CAMP-00000419,RY-CONT-00129678,
RY-CM-02277614,RY-CAMP-00000436,RY-CONT-00462398,
RY-CM-02481873,RY-CAMP-00000442,,RY-LEAD-00395901
RY-CM-01068765,RY-CAMP-00000209,,RY-LEAD-00676401
RY-CM-01881559,RY-CAMP-00000376,RY-CONT-00620275,
RY-CM-02075027,RY-CAMP-00000376,,RY-LEAD-00604021
RY-CM-00051626,RY-CAMP-00000012,RY-CONT-00470541,
RY-CM-00448247,RY-CAMP-00000103,,RY-LEAD-00165405
RY-CM-00829345,RY-CAMP-00000123,,RY-LEAD-00698665
RY-CM-01261026,RY-CAMP-00000267,,RY-LEAD-01183894
RY-CM-02412737,RY-CAMP-00000461,RY-CONT-00369775,
RY-CM-02293505,RY-CAMP-00000471,,RY-LEAD-00045270
RY-CM-00258875,RY-CAMP-00000048,,RY-LEAD-01432270
RY-CM-01976905,RY-CAMP-00000376,,RY-LEAD-00582786
RY-CM-00704630,RY-CAMP-00000123,RY-CONT-00311652,
