RY_External_ID__c,Name,Account_Key,Applicant_Key,Campaign_Key,Intake_Key,CloseDate,RY_Sample_Stage__c,RY_Expected_Value_ZAR__c
RY-OPP-00423538,Interior Decorating - Application Received,,RY-CONT-00085539,,RY-INTAKE-023,2026-12-21,Application Received,13908.02
RY-OPP-00411217,Data Analysis - Application Sent,,RY-CONT-01134532,,RY-INTAKE-021,2026-08-18,Application Sent,10767.93
RY-OPP-00197257,Customer Experience - Closed Won,,RY-CONT-00029820,,RY-INTAKE-033,2026-11-02,Closed Won,13222.52
RY-OPP-00664783,Sales & Account Management - Application Sent,,RY-CONT-00139681,,RY-INTAKE-028,2026-11-18,Application Sent,4383.17
RY-OPP-00581281,Higher Certificate in Business Management - Application Sent,,RY-CONT-01129134,,RY-INTAKE-009,2026-09-19,Application Sent,
RY-OPP-00404118,Shopper Marketing - Closed Lost,,RY-CONT-00070131,,RY-INTAKE-040,2026-08-30,Closed Lost,12598.3
RY-OPP-00046438,Copywriting - Closed Lost,,RY-CONT-00170117,,RY-INTAKE-030,2026-10-18,Closed Lost,11221.16
RY-OPP-00666346,Sports Sponsorship Marketing - Enquiry,,RY-CONT-00084919,,RY-INTAKE-049,2026-08-08,Enquiry,
RY-OPP-00142165,Higher Certificate in Business Management - Application Sent,,RY-CONT-00205758,,RY-INTAKE-045,2026-08-22,Application Sent,
RY-OPP-00209127,Management Development Programme: Agency Leadership - Offer Made,,RY-CONT-01136093,,RY-INTAKE-048,2026-11-02,Offer Made,33242.72
RY-OPP-00060420,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Enquiry",,RY-CONT-00031063,,RY-INTAKE-035,2026-09-02,Enquiry,
RY-OPP-00229485,Shopper Marketing - Closed Lost,,RY-CONT-00206759,,RY-INTAKE-040,2026-07-12,Closed Lost,12261.91
RY-OPP-00639131,Data Analysis - Closed Lost,,RY-CONT-00111840,,RY-INTAKE-021,2026-06-28,Closed Lost,13200.21
RY-OPP-00648852,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Closed Won",,RY-CONT-01111319,,RY-INTAKE-003,2026-09-26,Closed Won,
RY-OPP-00328488,Strategic Foresight for Leaders - Qualification,,RY-CONT-00103760,,RY-INTAKE-054,2026-08-06,Qualification,26401.4
RY-OPP-00290198,Postgraduate Diploma in Digital Marketing - Qualification,,RY-CONT-00162700,,RY-INTAKE-014,2026-07-28,Qualification,
RY-OPP-00041594,Performance Marketing - Qualification,,RY-CONT-01133435,,RY-INTAKE-017,2026-06-07,Qualification,11919.24
RY-OPP-00459893,Sports Sponsorship Marketing - Closed Lost,,RY-CONT-00172159,,RY-INTAKE-049,2026-09-29,Closed Lost,
RY-OPP-00645708,Digital Content & Copywriting - Application Sent,,RY-CONT-00193960,,RY-INTAKE-029,2026-06-23,Application Sent,11809.51
RY-OPP-00616133,Graphic Design Beginner - Qualification,,RY-CONT-00028034,,RY-INTAKE-018,2026-10-27,Qualification,13305.83
RY-OPP-00585598,Mentorship - Closed Won,,RY-CONT-01116513,,RY-INTAKE-027,2026-06-20,Closed Won,5058.6
RY-OPP-00532446,Design Thinking - Enquiry,,RY-CONT-00009197,,RY-INTAKE-016,2026-08-30,Enquiry,12389.27
RY-OPP-00171838,Marketing Strategy - Closed Won,,RY-CONT-00135736,,RY-INTAKE-036,2026-09-17,Closed Won,7864.08
RY-OPP-00657084,Part-Time Postgraduate Diploma in Management - Application Sent,,RY-CONT-01114554,,RY-INTAKE-041,2026-05-21,Application Sent,
RY-OPP-00442088,Postgraduate Diploma in Management - Application Received,,RY-CONT-00160523,,RY-INTAKE-013,2026-10-02,Application Received,
RY-OPP-00371855,Graphic Design Beginner - Closed Won,,RY-CONT-01124980,RY-CAMP-00000366,RY-INTAKE-018,2026-06-25,Closed Won,14672.62
RY-OPP-00031076,Postgraduate Diploma in Management - Closed Lost,,RY-CONT-00114804,,RY-INTAKE-013,2026-04-30,Closed Lost,
RY-OPP-00214619,Postgraduate Diploma in Management - Qualification,,RY-CONT-00049315,,RY-INTAKE-013,2026-05-15,Qualification,
RY-OPP-00605880,Project Management - Enquiry,,RY-CONT-01124182,,RY-INTAKE-025,2026-09-02,Enquiry,11885.39
RY-OPP-00298580,Sports Sponsorship Marketing - Enquiry,,RY-CONT-00071199,,RY-INTAKE-049,2026-06-19,Enquiry,
RY-OPP-00492578,Higher Certificate in Business Management - Closed Won,,RY-CONT-00067037,,RY-INTAKE-009,2026-06-20,Closed Won,
RY-OPP-00097402,Operational Finance - Closed Lost,,RY-CONT-00062307,,RY-INTAKE-051,2026-05-29,Closed Lost,12266.11
RY-OPP-00194095,Postgraduate Diploma in Digital Marketing - Qualification,,RY-CONT-00150836,,RY-INTAKE-014,2026-05-16,Qualification,
RY-OPP-00322906,User Experience Design - Qualification,,RY-CONT-00173552,,RY-INTAKE-019,2026-04-08,Qualification,
RY-OPP-00534371,Customer Experience - Enquiry,,RY-CONT-00163057,,RY-INTAKE-033,2026-03-13,Enquiry,11040.17
RY-OPP-00488501,Desktop Publishing with InDesign - Application Received,,RY-CONT-00000773,,RY-INTAKE-039,2026-06-12,Application Received,
RY-OPP-00357125,Public Relations - Application Sent,,RY-CONT-00197451,,RY-INTAKE-057,2026-01-12,Application Sent,11988.0
RY-OPP-00415824,Strategic Foresight for Leaders - Closed Lost,,RY-CONT-01135278,RY-CAMP-00000366,RY-INTAKE-054,2026-06-07,Closed Lost,24411.31
RY-OPP-00654095,Design Thinking - Qualification,,RY-CONT-01135159,,RY-INTAKE-016,2026-01-27,Qualification,12665.87
RY-OPP-00442114,AI & Executive Judgement - Qualification,,RY-CONT-00031498,,RY-INTAKE-055,2026-04-28,Qualification,21401.11
RY-OPP-00168550,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Enquiry",,RY-CONT-00059876,,RY-INTAKE-003,2026-02-18,Enquiry,
RY-OPP-00161434,Operational Finance - Closed Won,,RY-CONT-00104242,,RY-INTAKE-051,2025-12-18,Closed Won,11056.55
RY-OPP-00405119,Mentorship - Closed Won,,RY-CONT-00122308,,RY-INTAKE-027,2026-01-22,Closed Won,5294.15
RY-OPP-00001223,Part-Time Higher Certificate in Marketing and Branding - Application Sent,,RY-CONT-00197451,,RY-INTAKE-043,2026-02-17,Application Sent,
RY-OPP-00375095,Strategic Foresight for Leaders - Offer Made,,RY-CONT-00064267,,RY-INTAKE-054,2026-01-16,Offer Made,21677.56
RY-OPP-00160681,Storytelling for Impact & Influence - Closed Lost,,RY-CONT-00156231,,RY-INTAKE-022,2026-03-27,Closed Lost,5576.31
RY-OPP-00422145,Part-Time Postgraduate Diploma in Management - Closed Won,,RY-CONT-00079289,RY-CAMP-00000303,RY-INTAKE-041,2025-11-07,Closed Won,
RY-OPP-00268598,Management Development Programme: Agency Leadership - Application Received,,RY-CONT-01121735,,RY-INTAKE-048,2026-01-16,Application Received,28796.2
RY-OPP-00485631,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing - Enquiry",,RY-CONT-00115901,,RY-INTAKE-035,2026-02-13,Enquiry,
RY-OPP-00158972,Digital Content & Copywriting - Closed Lost,,RY-CONT-00153682,,RY-INTAKE-029,2025-12-04,Closed Lost,13553.46
RY-OPP-00667767,Brand as Capital - Enquiry,,RY-CONT-00023174,,RY-INTAKE-046,2025-11-29,Enquiry,25393.84
RY-OPP-00137342,Project Management - Closed Won,,RY-CONT-01113449,,RY-INTAKE-025,2025-12-31,Closed Won,10356.59
RY-OPP-00010816,Part-Time Higher Certificate in Business Management - Closed Lost,,RY-CONT-00115901,,RY-INTAKE-042,2026-01-21,Closed Lost,
RY-OPP-00522112,Social Media Marketing - Offer Made,,RY-CONT-00070091,,RY-INTAKE-038,2025-10-01,Offer Made,
RY-OPP-00156104,Digital Content & Copywriting - Qualification,,RY-CONT-00113250,,RY-INTAKE-029,2025-12-09,Qualification,12892.16
RY-OPP-00202925,Social Media Marketing - Application Received,,RY-CONT-01138223,,RY-INTAKE-038,2025-12-19,Application Received,
RY-OPP-00005943,Desktop Publishing with InDesign - Qualification,,RY-CONT-00202606,,RY-INTAKE-039,2025-11-13,Qualification,
RY-OPP-00082280,Rebel Leadership - Application Received,,RY-CONT-00016694,,RY-INTAKE-047,2025-09-14,Application Received,21531.43
RY-OPP-00445387,Postgraduate Diploma in Management - Application Sent,,RY-CONT-01114195,,RY-INTAKE-013,2025-12-21,Application Sent,
RY-OPP-00545371,Media Planning - Offer Made,,RY-CONT-01118067,,RY-INTAKE-026,2025-11-14,Offer Made,11130.43
RY-OPP-00238507,Desktop Publishing with InDesign - Qualification,,RY-CONT-00025257,,RY-INTAKE-039,2025-10-10,Qualification,
RY-OPP-00106870,Creative Thinking - Application Sent,,RY-CONT-01131298,,RY-INTAKE-024,2025-09-11,Application Sent,4108.76
RY-OPP-00228652,Strategic Foresight for Leaders - Application Received,,RY-CONT-00040600,,RY-INTAKE-054,2025-07-13,Application Received,20620.93
RY-OPP-00026971,Postgraduate Diploma in Management - Qualification,,RY-CONT-01128611,,RY-INTAKE-013,2025-11-27,Qualification,
RY-OPP-00627322,Part-Time Higher Certificate in Business Management - Application Received,,RY-CONT-00144155,,RY-INTAKE-042,2025-09-25,Application Received,
RY-OPP-00448731,Rebel Leadership - Application Sent,,RY-CONT-00020625,,RY-INTAKE-047,2025-06-05,Application Sent,23423.82
RY-OPP-00597653,Brand as Capital - Offer Made,,RY-CONT-00096505,,RY-INTAKE-046,2025-08-06,Offer Made,20032.29
RY-OPP-00566259,Interior Decorating - Closed Lost,,RY-CONT-00159874,,RY-INTAKE-023,2025-08-27,Closed Lost,15013.81
RY-OPP-00077201,Rebel Leadership - Closed Won,,RY-CONT-00182520,,RY-INTAKE-047,2025-08-13,Closed Won,23811.99
RY-OPP-00675394,Higher Certificate in Business Management - Closed Won,,RY-CONT-01124980,,RY-INTAKE-045,2025-06-26,Closed Won,
RY-OPP-00685302,Brand as Capital - Enquiry,,RY-CONT-01131928,,RY-INTAKE-046,2025-06-13,Enquiry,19941.9
RY-OPP-00142281,Higher Certificate in Marketing and Branding - Enquiry,,RY-CONT-00082521,,RY-INTAKE-044,2025-04-16,Enquiry,
RY-OPP-00654887,Sales & Account Management - Offer Made,,RY-CONT-00021343,,RY-INTAKE-028,2025-04-16,Offer Made,4824.13
RY-OPP-00581742,User Experience Design - Application Received,,RY-CONT-00152347,,RY-INTAKE-019,2025-06-20,Application Received,
RY-OPP-00202571,Performance Marketing - Offer Made,,RY-CONT-00067037,,RY-INTAKE-017,2025-07-30,Offer Made,11125.43
RY-OPP-00230230,Business Analysis - Closed Lost,,RY-CONT-01126872,RY-CAMP-00000066,RY-INTAKE-020,2025-04-28,Closed Lost,13675.22
RY-OPP-00625867,Mentorship - Application Sent,,RY-CONT-01126763,,RY-INTAKE-027,2025-05-11,Application Sent,5303.37
RY-OPP-00450313,Strategic Foresight for Leaders - Application Sent,,RY-CONT-00114804,,RY-INTAKE-054,2025-05-12,Application Sent,25584.63
RY-OPP-00450243,Project Management - Enquiry,,RY-CONT-00196021,,RY-INTAKE-025,2025-08-06,Enquiry,12945.45
RY-OPP-00325047,Design Thinking - Application Sent,,RY-CONT-00091811,,RY-INTAKE-016,2025-07-14,Application Sent,12711.3
RY-OPP-00339485,Desktop Publishing with InDesign - Application Sent,,RY-CONT-00082521,,RY-INTAKE-039,2025-07-14,Application Sent,
RY-OPP-00232392,Public Relations - Offer Made,,RY-CONT-00185076,,RY-INTAKE-057,2025-05-20,Offer Made,13037.15
RY-OPP-00120142,Management Development Programme: Agency Leadership - Closed Won,,RY-CONT-00181480,RY-CAMP-00000303,RY-INTAKE-048,2025-03-29,Closed Won,31012.56
RY-OPP-00124541,Design Thinking - Qualification,,RY-CONT-00158912,,RY-INTAKE-016,2025-02-04,Qualification,12704.3
RY-OPP-00532978,Operational Finance - Enquiry,,RY-CONT-00181480,RY-CAMP-00000349,RY-INTAKE-051,2025-05-22,Enquiry,13035.94
RY-OPP-00466043,Desktop Publishing with InDesign - Qualification,,RY-CONT-01115709,,RY-INTAKE-039,2025-03-29,Qualification,
RY-OPP-00054181,Media Planning - Closed Lost,,RY-CONT-00031063,,RY-INTAKE-026,2025-02-01,Closed Lost,10970.65
RY-OPP-00496100,Project Management - Application Sent,,RY-CONT-00141934,,RY-INTAKE-025,2025-03-03,Application Sent,13403.08
RY-OPP-00516326,Graphic Design Intermediate with Adobe Photoshop - Closed Won,,RY-CONT-00196021,,RY-INTAKE-032,2025-04-14,Closed Won,16458.22
RY-OPP-00452633,Business Analysis - Closed Won,,RY-CONT-00199764,,RY-INTAKE-020,2025-04-21,Closed Won,13977.0
RY-OPP-00543948,Creative Thinking - Closed Lost,,RY-CONT-00192832,,RY-INTAKE-024,2025-05-01,Closed Lost,4591.86
RY-OPP-00493669,People Management - Qualification,,RY-CONT-00064746,RY-CAMP-00000158,RY-INTAKE-056,2025-03-13,Qualification,12053.74
RY-OPP-00333040,Mentorship - Enquiry,,RY-CONT-00162853,,RY-INTAKE-027,2025-01-08,Enquiry,5560.03
RY-OPP-00342336,Brand as Capital - Qualification,,RY-CONT-00207051,,RY-INTAKE-046,2025-01-20,Qualification,26124.89
RY-OPP-00341018,Strategic Foresight for Leaders - Application Received,,RY-CONT-00173552,,RY-INTAKE-054,2024-12-30,Application Received,24939.02
RY-OPP-00037103,User Experience Design - Qualification,,RY-CONT-00060281,,RY-INTAKE-019,2024-11-20,Qualification,
RY-OPP-00326155,Project Management - Closed Won,,RY-CONT-01112129,,RY-INTAKE-025,2025-02-14,Closed Won,10149.57
RY-OPP-00030765,Business Analysis - Application Sent,,RY-CONT-00110495,,RY-INTAKE-020,2024-12-01,Application Sent,11061.8
RY-OPP-00119382,Rebel Leadership - Closed Won,,RY-CONT-00121571,RY-CAMP-00000311,RY-INTAKE-047,2024-11-05,Closed Won,23814.11
RY-OPP-00615949,Postgraduate Diploma in Digital Marketing - Application Sent,,RY-CONT-00130319,,RY-INTAKE-014,2024-12-25,Application Sent,
RY-OPP-00054838,Data Visualisation for Designers - Qualification,,RY-CONT-00088966,,RY-INTAKE-031,2024-12-15,Qualification,16343.1
RY-OPP-00572307,Sports Sponsorship Marketing - Application Sent,,RY-CONT-01117735,,RY-INTAKE-049,2025-02-17,Application Sent,
RY-OPP-00152025,Graphic Design Beginner - Closed Lost,,RY-CONT-01111994,,RY-INTAKE-018,2025-03-05,Closed Lost,12732.87
RY-OPP-00081922,Interior Decorating - Closed Won,,RY-CONT-00086878,,RY-INTAKE-023,2024-12-09,Closed Won,14518.33
RY-OPP-00522162,Social Media Marketing - Application Sent,,RY-CONT-00114394,,RY-INTAKE-038,2025-03-11,Application Sent,
RY-OPP-00253519,Higher Certificate in Business Management - Closed Lost,,RY-CONT-00176417,,RY-INTAKE-009,2025-01-30,Closed Lost,
RY-OPP-00381213,Higher Certificate in Business Management - Qualification,,RY-CONT-00171960,,RY-INTAKE-009,2024-11-07,Qualification,
RY-OPP-00531590,Data Analysis for Marketers - Qualification,,RY-CONT-00054274,,RY-INTAKE-034,2024-12-12,Qualification,10956.44
RY-OPP-00152276,Social Media Marketing - Application Sent,,RY-CONT-01114608,,RY-INTAKE-038,2024-09-04,Application Sent,
RY-OPP-00243115,Graphic Design Beginner - Offer Made,,RY-CONT-00029564,,RY-INTAKE-018,2024-10-29,Offer Made,12195.55
RY-OPP-00417509,Sustainable Marketing - Application Sent,,RY-CONT-01131298,,RY-INTAKE-050,2024-12-25,Application Sent,
RY-OPP-00495222,Postgraduate Diploma in Management - Offer Made,,RY-CONT-00070779,,RY-INTAKE-013,2024-07-19,Offer Made,
RY-OPP-00559370,People Management - Closed Lost,,RY-CONT-00156907,,RY-INTAKE-056,2024-11-22,Closed Lost,13486.61
RY-OPP-00285150,Postgraduate Diploma in Digital Marketing - Closed Won,,RY-CONT-01118067,,RY-INTAKE-014,2024-07-03,Closed Won,
