RY_External_ID__c,Contact_Key,Intake_Key,Opportunity_Key,Submitted_Date__c,Status__c,Decision_Date__c
RY-APP-00000330,RY-CONT-00937927,RY-INTAKE-022,RY-OPP-00431824,2025-05-12,Submitted,2025-06-14
RY-APP-00002097,RY-CONT-00401423,RY-INTAKE-055,RY-OPP-00337630,2022-01-23,Accepted,2022-02-16
RY-APP-00002353,RY-CONT-00116894,RY-INTAKE-014,RY-OPP-00322409,2023-05-05,Declined,2023-05-23
RY-APP-00006309,RY-CONT-00924945,RY-INTAKE-055,RY-OPP-00642253,2023-09-12,Under Review,2023-09-21
RY-APP-00007362,RY-CONT-00980346,RY-INTAKE-051,RY-OPP-00227428,2026-04-17,Submitted,2026-05-23
RY-APP-00008028,RY-CONT-00705752,RY-INTAKE-034,RY-OPP-00013159,2025-05-15,Withdrawn,2025-06-21
RY-APP-00012850,RY-CONT-00911542,RY-INTAKE-048,RY-OPP-00632602,2025-03-15,Accepted,2025-04-18
RY-APP-00014818,RY-CONT-00072459,RY-INTAKE-040,RY-OPP-00368429,2022-03-24,Under Review,2022-04-28
RY-APP-00019065,RY-CONT-00010754,RY-INTAKE-041,RY-OPP-00523563,2025-03-12,Declined,2025-03-29
RY-APP-00020688,RY-CONT-00519002,RY-INTAKE-042,RY-OPP-00183309,2026-10-25,Withdrawn,2026-11-22
RY-APP-00021837,RY-CONT-01001966,RY-INTAKE-016,RY-OPP-00434468,2026-03-27,Declined,2026-04-23
RY-APP-00024313,RY-CONT-00376521,RY-INTAKE-012,RY-OPP-00565948,2026-10-07,Accepted,2026-10-26
RY-APP-00024822,RY-CONT-00723762,RY-INTAKE-039,RY-OPP-00310864,2026-01-28,Accepted,2026-02-08
RY-APP-00025166,RY-CONT-00973289,RY-INTAKE-023,RY-OPP-00223395,2022-03-12,Under Review,2022-04-01
RY-APP-00026518,RY-CONT-00376521,RY-INTAKE-047,RY-OPP-00583243,2026-07-22,Declined,2026-08-06
RY-APP-00027501,RY-CONT-00849157,RY-INTAKE-023,RY-OPP-00170481,2022-04-30,Under Review,2022-05-18
RY-APP-00027617,RY-CONT-00372912,RY-INTAKE-046,RY-OPP-00480727,2025-03-19,Under Review,2025-04-27
RY-APP-00031555,RY-CONT-00937927,RY-INTAKE-021,RY-OPP-00293372,2024-06-30,Accepted,2024-08-03
RY-APP-00034852,RY-CONT-00338756,RY-INTAKE-038,RY-OPP-00067485,2025-11-17,Accepted,2025-12-29
RY-APP-00035805,RY-CONT-00941371,RY-INTAKE-048,RY-OPP-00531290,2025-10-18,Withdrawn,2025-11-21
RY-APP-00035918,RY-CONT-00950132,RY-INTAKE-022,RY-OPP-00495548,2025-06-07,Submitted,2025-06-13
RY-APP-00036759,RY-CONT-00083179,RY-INTAKE-021,RY-OPP-00386598,2023-08-05,Accepted,2023-08-24
RY-APP-00037532,RY-CONT-00003202,RY-INTAKE-053,RY-OPP-00127651,2025-11-11,Submitted,2025-11-25
RY-APP-00038135,RY-CONT-00461751,RY-INTAKE-018,RY-OPP-00218114,2022-10-21,Accepted,2022-11-13
RY-APP-00038917,RY-CONT-00487427,RY-INTAKE-024,RY-OPP-00620787,2022-04-24,Declined,2022-05-09
RY-APP-00039929,RY-CONT-00253392,RY-INTAKE-033,RY-OPP-00395148,2022-11-29,Submitted,2022-12-19
RY-APP-00045242,RY-CONT-00188064,RY-INTAKE-045,RY-OPP-00489641,2024-03-20,Accepted,2024-04-09
RY-APP-00049758,RY-CONT-00279410,RY-INTAKE-032,RY-OPP-00154580,2023-10-18,Submitted,2023-11-27
RY-APP-00052681,RY-CONT-00746609,RY-INTAKE-019,RY-OPP-00562583,2024-05-23,Withdrawn,2024-06-27
RY-APP-00053951,RY-CONT-00732812,RY-INTAKE-040,RY-OPP-00099299,2025-02-03,Accepted,2025-02-17
RY-APP-00056273,RY-CONT-00465137,RY-INTAKE-039,RY-OPP-00480862,2024-09-28,Accepted,2024-10-05
RY-APP-00059516,RY-CONT-00769962,RY-INTAKE-025,RY-OPP-00280922,2026-03-17,Withdrawn,2026-04-11
RY-APP-00068054,RY-CONT-00486318,RY-INTAKE-048,RY-OPP-00028706,2026-07-07,Withdrawn,2026-07-30
RY-APP-00069610,RY-CONT-00838266,RY-INTAKE-043,RY-OPP-00044446,2025-02-18,Submitted,2025-02-24
RY-APP-00070510,RY-CONT-00746609,RY-INTAKE-037,RY-OPP-00056852,2024-06-06,Submitted,2024-06-11
RY-APP-00070614,RY-CONT-00612674,RY-INTAKE-057,RY-OPP-00223185,2026-06-10,Submitted,2026-06-24
RY-APP-00076233,RY-CONT-00324819,RY-INTAKE-039,RY-OPP-00073809,2023-01-24,Accepted,2023-03-02
RY-APP-00079421,RY-CONT-00330494,RY-INTAKE-037,RY-OPP-00236090,2024-10-04,Submitted,2024-10-12
RY-APP-00083208,RY-CONT-00612795,RY-INTAKE-050,RY-OPP-00061699,2022-11-20,Accepted,2023-01-01
RY-APP-00084784,RY-CONT-00776344,RY-INTAKE-037,RY-OPP-00493475,2025-05-21,Under Review,2025-06-28
RY-APP-00090159,RY-CONT-00612894,RY-INTAKE-003,RY-OPP-00308876,2025-09-17,Waitlisted,2025-10-04
RY-APP-00090600,RY-CONT-00979518,RY-INTAKE-051,RY-OPP-00650718,2023-04-08,Under Review,2023-04-13
RY-APP-00094998,RY-CONT-00219195,RY-INTAKE-056,RY-OPP-00368590,2023-06-02,Accepted,2023-07-06
RY-APP-00095393,RY-CONT-00652876,RY-INTAKE-057,RY-OPP-00317975,2026-10-28,Declined,2026-12-10
RY-APP-00100303,RY-CONT-01102137,RY-INTAKE-009,RY-OPP-00635374,2026-10-03,Waitlisted,2026-10-08
RY-APP-00101582,RY-CONT-00354118,RY-INTAKE-022,RY-OPP-00540182,2026-07-14,Accepted,2026-08-22
RY-APP-00103956,RY-CONT-00669050,RY-INTAKE-032,RY-OPP-00206458,2024-10-04,Withdrawn,2024-11-01
RY-APP-00105676,RY-CONT-00005462,RY-INTAKE-035,RY-OPP-00540301,2024-12-19,Submitted,2025-02-01
RY-APP-00110613,RY-CONT-00424695,RY-INTAKE-016,RY-OPP-00281254,2025-10-31,Submitted,2025-11-16
RY-APP-00111132,RY-CONT-00049105,RY-INTAKE-048,RY-OPP-00483895,2023-07-17,Accepted,2023-08-14
RY-APP-00116643,RY-CONT-00369775,RY-INTAKE-022,RY-OPP-00124099,2025-01-23,Withdrawn,2025-03-04
RY-APP-00126161,RY-CONT-00117453,RY-INTAKE-048,RY-OPP-00237123,2025-11-16,Accepted,2025-12-07
RY-APP-00128221,RY-CONT-00718760,RY-INTAKE-003,RY-OPP-00178387,2024-11-02,Accepted,2024-11-08
RY-APP-00132656,RY-CONT-00622048,RY-INTAKE-030,RY-OPP-00067773,2026-07-03,Accepted,2026-08-15
RY-APP-00133232,RY-CONT-00005835,RY-INTAKE-026,RY-OPP-00304213,2025-10-20,Accepted,2025-10-27
RY-APP-00135792,RY-CONT-00168770,RY-INTAKE-018,RY-OPP-00109562,2022-09-22,Accepted,2022-10-26
RY-APP-00140214,RY-CONT-00683811,RY-INTAKE-040,RY-OPP-00373204,2023-07-15,Under Review,2023-08-17
RY-APP-00141971,RY-CONT-00620275,RY-INTAKE-024,RY-OPP-00257918,2025-12-15,Withdrawn,2026-01-21
RY-APP-00146790,RY-CONT-00428257,RY-INTAKE-056,RY-OPP-00236754,2022-09-03,Under Review,2022-10-03
RY-APP-00148772,RY-CONT-00708598,RY-INTAKE-037,RY-OPP-00412472,2023-08-11,Accepted,2023-09-22
RY-APP-00150507,RY-CONT-00746609,RY-INTAKE-024,RY-OPP-00271677,2025-03-15,Under Review,2025-03-29
RY-APP-00153908,RY-CONT-00587469,RY-INTAKE-016,RY-OPP-00613784,2024-06-03,Under Review,2024-07-04
RY-APP-00155024,RY-CONT-00226107,RY-INTAKE-041,RY-OPP-00265809,2024-04-24,Declined,2024-05-29
RY-APP-00155566,RY-CONT-00253392,RY-INTAKE-050,RY-OPP-00040320,2025-08-31,Submitted,2025-09-25
RY-APP-00161789,RY-CONT-00188064,RY-INTAKE-022,RY-OPP-00484313,2024-12-21,Accepted,2025-01-24
RY-APP-00161814,RY-CONT-00090681,RY-INTAKE-037,RY-OPP-00273379,2024-06-02,Accepted,2024-06-21
RY-APP-00162462,RY-CONT-00652876,RY-INTAKE-013,RY-OPP-00216030,2023-01-18,Accepted,2023-02-26
RY-APP-00164743,RY-CONT-00994331,RY-INTAKE-054,RY-OPP-00178222,2023-03-20,Submitted,2023-03-28
RY-APP-00173494,RY-CONT-00902685,RY-INTAKE-019,RY-OPP-00684096,2024-10-12,Submitted,2024-11-02
RY-APP-00173510,RY-CONT-01004979,RY-INTAKE-056,RY-OPP-00265750,2023-11-21,Withdrawn,2023-12-25
RY-APP-00175069,RY-CONT-00382911,RY-INTAKE-023,RY-OPP-00680566,2022-10-03,Under Review,2022-10-12
RY-APP-00179885,RY-CONT-00279410,RY-INTAKE-039,RY-OPP-00197817,2025-04-28,Withdrawn,2025-05-06
RY-APP-00180680,RY-CONT-00736407,RY-INTAKE-019,RY-OPP-00546413,2024-06-11,Accepted,2024-06-23
RY-APP-00188495,RY-CONT-00784249,RY-INTAKE-035,RY-OPP-00403437,2024-11-13,Accepted,2024-12-21
RY-APP-00190388,RY-CONT-00266140,RY-INTAKE-049,RY-OPP-00228463,2024-03-10,Withdrawn,2024-04-12
RY-APP-00190466,RY-CONT-00205318,RY-INTAKE-009,RY-OPP-00640949,2025-11-07,Under Review,2025-12-17
RY-APP-00198853,RY-CONT-00178993,RY-INTAKE-047,RY-OPP-00094621,2023-06-05,Withdrawn,2023-07-19
RY-APP-00200414,RY-CONT-00009839,RY-INTAKE-045,RY-OPP-00201476,2023-04-09,Accepted,2023-04-17
RY-APP-00201765,RY-CONT-00426843,RY-INTAKE-047,RY-OPP-00092753,2024-10-04,Submitted,2024-10-24
RY-APP-00201792,RY-CONT-00612894,RY-INTAKE-024,RY-OPP-00238223,2025-01-27,Withdrawn,2025-02-10
RY-APP-00204263,RY-CONT-00417707,RY-INTAKE-014,RY-OPP-00055882,2023-11-09,Waitlisted,2023-11-24
RY-APP-00206579,RY-CONT-00553673,RY-INTAKE-044,RY-OPP-00316075,2025-10-29,Submitted,2025-12-04
RY-APP-00208899,RY-CONT-01038367,RY-INTAKE-041,RY-OPP-00446248,2026-07-03,Under Review,2026-08-08
RY-APP-00209441,RY-CONT-00234785,RY-INTAKE-039,RY-OPP-00578607,2025-06-28,Submitted,2025-07-16
RY-APP-00212071,RY-CONT-00392531,RY-INTAKE-018,RY-OPP-00016966,2024-04-01,Under Review,2024-04-22
RY-APP-00213394,RY-CONT-00321710,RY-INTAKE-031,RY-OPP-00022379,2022-03-08,Waitlisted,2022-04-09
RY-APP-00217681,RY-CONT-00472069,RY-INTAKE-021,RY-OPP-00695855,2026-06-18,Submitted,2026-07-30
RY-APP-00220962,RY-CONT-00906504,RY-INTAKE-055,RY-OPP-00591396,2023-11-09,Accepted,2023-11-15
RY-APP-00222340,RY-CONT-01042643,RY-INTAKE-027,RY-OPP-00083949,2024-09-04,Declined,2024-10-01
RY-APP-00229697,RY-CONT-00981002,RY-INTAKE-016,RY-OPP-00477428,2023-09-28,Accepted,2023-10-19
RY-APP-00229723,RY-CONT-00263002,RY-INTAKE-057,RY-OPP-00402647,2025-04-09,Submitted,2025-05-06
RY-APP-00234699,RY-CONT-00757563,RY-INTAKE-037,RY-OPP-00447420,2025-05-26,Waitlisted,2025-06-03
RY-APP-00236802,RY-CONT-00239545,RY-INTAKE-052,RY-OPP-00353916,2023-05-21,Withdrawn,2023-06-23
RY-APP-00237744,RY-CONT-00001500,RY-INTAKE-027,RY-OPP-00476516,2023-10-29,Accepted,2023-12-03
RY-APP-00238221,RY-CONT-01031183,RY-INTAKE-038,RY-OPP-00447256,2024-09-14,Submitted,2024-10-25
RY-APP-00257504,RY-CONT-00469205,RY-INTAKE-042,RY-OPP-00316184,2024-08-21,Accepted,2024-08-28
RY-APP-00259076,RY-CONT-00911542,RY-INTAKE-012,RY-OPP-00021951,2024-10-03,Submitted,2024-10-18
RY-APP-00264889,RY-CONT-00903359,RY-INTAKE-027,RY-OPP-00352985,2023-05-04,Withdrawn,2023-06-14
RY-APP-00272729,RY-CONT-00285073,RY-INTAKE-023,RY-OPP-00321395,2026-05-16,Under Review,2026-06-08
RY-APP-00273129,RY-CONT-00369775,RY-INTAKE-009,RY-OPP-00682695,2025-04-02,Under Review,2025-04-20
RY-APP-00276921,RY-CONT-00196019,RY-INTAKE-049,RY-OPP-00277592,2024-02-27,Submitted,2024-04-01
RY-APP-00278307,RY-CONT-00885774,RY-INTAKE-019,RY-OPP-00036399,2024-09-20,Declined,2024-10-27
RY-APP-00279518,RY-CONT-00470541,RY-INTAKE-055,RY-OPP-00028098,2023-08-26,Withdrawn,2023-09-06
RY-APP-00281687,RY-CONT-00070000,RY-INTAKE-035,RY-OPP-00249481,2023-06-18,Submitted,2023-07-15
RY-APP-00283401,RY-CONT-00206036,RY-INTAKE-055,RY-OPP-00258791,2024-11-16,Accepted,2024-12-07
RY-APP-00290005,RY-CONT-00450973,RY-INTAKE-043,RY-OPP-00587931,2022-12-12,Declined,2022-12-30
