RY_External_ID__c,Student_Key,Application_Key,Enrolled_Date__c,Status__c,Agreed_Fee_ZAR__c
RY-ENR-00000066,RY-STU-00000064,RY-APP-00317962,2022-11-16,Active,11852.23
RY-ENR-00000212,RY-STU-00000201,RY-APP-00237744,2023-12-15,Active,4835.92
RY-ENR-00000713,RY-STU-00000681,RY-APP-00443541,2024-11-11,Completed,12636.19
RY-ENR-00000864,RY-STU-00000821,RY-APP-00133232,2025-12-14,Completed,12033.51
RY-ENR-00001483,RY-STU-00001388,RY-APP-00200414,2023-05-30,Withdrawn,
RY-ENR-00004552,RY-STU-00004256,RY-APP-00320116,2026-06-06,Withdrawn,14622.0
RY-ENR-00007439,RY-STU-00006923,RY-APP-00111132,2023-09-12,Withdrawn,34798.7
RY-ENR-00012389,RY-STU-00011533,RY-APP-00036759,2023-10-10,Active,9925.99
RY-ENR-00013506,RY-STU-00012577,RY-APP-00161814,2024-08-24,Active,
RY-ENR-00017419,RY-STU-00016235,RY-APP-00126161,2026-01-09,Active,31857.45
RY-ENR-00024995,RY-STU-00023283,RY-APP-00135792,2022-11-11,Active,13128.47
RY-ENR-00027400,RY-STU-00025511,RY-APP-00472675,2023-01-06,Active,
RY-ENR-00027893,RY-STU-00025962,RY-APP-00045242,2024-06-03,Completed,
RY-ENR-00027894,RY-STU-00025962,RY-APP-00161789,2025-03-11,Active,5177.79
RY-ENR-00030586,RY-STU-00028460,RY-APP-00283401,2025-02-04,Active,21848.08
RY-ENR-00030587,RY-STU-00028460,RY-APP-00311803,2026-02-22,Deferred,
RY-ENR-00032550,RY-STU-00030290,RY-APP-00094998,2023-08-06,Completed,11855.35
RY-ENR-00034126,RY-STU-00031754,RY-APP-00432870,2022-06-17,Active,
RY-ENR-00039508,RY-STU-00036766,RY-APP-00459292,2022-05-11,Completed,
RY-ENR-00041172,RY-STU-00038318,RY-APP-00332163,2023-07-14,Withdrawn,
RY-ENR-00048080,RY-STU-00044730,RY-APP-00076233,2023-03-10,Withdrawn,
RY-ENR-00048081,RY-STU-00044730,RY-APP-00412992,2024-12-19,Active,
RY-ENR-00050144,RY-STU-00046654,RY-APP-00034852,2026-02-24,Completed,
RY-ENR-00052487,RY-STU-00048822,RY-APP-00101582,2026-10-18,Active,6425.29
RY-ENR-00055800,RY-STU-00051922,RY-APP-00024313,2026-12-30,Active,
RY-ENR-00059405,RY-STU-00055284,RY-APP-00002097,2022-03-26,Active,22334.33
RY-ENR-00064193,RY-STU-00059760,RY-APP-00386235,2023-11-06,Active,12509.2
RY-ENR-00068268,RY-STU-00063542,RY-APP-00038135,2022-12-11,Completed,13520.4
RY-ENR-00068789,RY-STU-00064023,RY-APP-00056273,2024-11-02,Completed,
RY-ENR-00069369,RY-STU-00064566,RY-APP-00257504,2024-10-08,Active,
RY-ENR-00086944,RY-STU-00080904,RY-APP-00462089,2026-08-25,Withdrawn,9750.02
RY-ENR-00090633,RY-STU-00084344,RY-APP-00419813,2022-04-17,Withdrawn,10435.73
RY-ENR-00090654,RY-STU-00084363,RY-APP-00083208,2023-01-23,Active,
RY-ENR-00092002,RY-STU-00085612,RY-APP-00132656,2026-09-04,Completed,11398.04
RY-ENR-00096418,RY-STU-00089754,RY-APP-00162462,2023-04-07,Active,
RY-ENR-00100556,RY-STU-00093601,RY-APP-00310389,2023-11-06,On Hold,
RY-ENR-00104749,RY-STU-00097518,RY-APP-00148772,2023-11-17,Active,
RY-ENR-00106250,RY-STU-00098907,RY-APP-00128221,2024-11-17,Active,
RY-ENR-00106965,RY-STU-00099569,RY-APP-00024822,2026-04-08,Completed,
RY-ENR-00107185,RY-STU-00099775,RY-APP-00364454,2022-06-07,Active,11530.19
RY-ENR-00107313,RY-STU-00099897,RY-APP-00490678,2024-08-16,Active,4478.2
RY-ENR-00107623,RY-STU-00100181,RY-APP-00312763,2022-10-12,Active,11869.12
RY-ENR-00107624,RY-STU-00100181,RY-APP-00461429,2025-12-05,Active,21098.8
RY-ENR-00108328,RY-STU-00100832,RY-APP-00053951,2025-04-25,Completed,
RY-ENR-00108876,RY-STU-00101336,RY-APP-00180680,2024-08-13,Active,
RY-ENR-00115919,RY-STU-00107900,RY-APP-00188495,2025-01-24,Withdrawn,
RY-ENR-00120380,RY-STU-00112029,RY-APP-00449958,2023-07-17,Active,13236.84
RY-ENR-00129808,RY-STU-00120789,RY-APP-00424086,2024-03-08,Completed,13308.78
RY-ENR-00133835,RY-STU-00124535,RY-APP-00220962,2023-12-28,Active,23214.88
RY-ENR-00134556,RY-STU-00125218,RY-APP-00012850,2025-06-17,Completed,33223.6
RY-ENR-00138313,RY-STU-00128706,RY-APP-00031555,2024-09-10,Active,9542.6
RY-ENR-00144804,RY-STU-00134730,RY-APP-00229697,2023-12-25,Completed,10063.36
RY-ENR-00153288,RY-STU-00142680,RY-APP-00335995,2024-03-30,Active,13729.76
RY-ENR-00166481,RY-STU-00155019,RY-APP-00316692,2025-05-22,Active,5541.21
