RY_External_ID__c,Contact_Key,Lead_Key,Offering_Key,Enquiry_Date__c,Channel__c,Status__c
RY-ENQ-00005480,RY-CONT-01112462,,RY-OFFER-074,2026-07-17,Email,Contacted
RY-ENQ-00009758,RY-CONT-00201360,,RY-OFFER-063,2025-12-11,Google Ads,Qualified
RY-ENQ-00011166,RY-CONT-00020625,,RY-OFFER-075,2024-07-07,Email,Contacted
RY-ENQ-00017930,RY-CONT-01122772,,RY-OFFER-033,2024-03-29,Organic search,Contacted
RY-ENQ-00018892,RY-CONT-00148554,,RY-OFFER-066,2024-09-01,Paid social,Qualified
RY-ENQ-00018913,RY-CONT-00116629,,RY-OFFER-007,2022-09-08,Google Ads,Closed
RY-ENQ-00020328,RY-CONT-00067709,,RY-OFFER-073,2024-05-11,Paid social,Closed
RY-ENQ-00024100,RY-CONT-00119478,,RY-OFFER-030,2025-07-05,Email,Closed
RY-ENQ-00030929,RY-CONT-00036443,,RY-OFFER-010,2023-12-05,Google Ads,Closed
RY-ENQ-00033083,RY-CONT-00105074,,RY-OFFER-008,2024-10-20,Google Ads,Contacted
RY-ENQ-00033204,RY-CONT-00029564,,RY-OFFER-083,2024-08-22,Organic search,Contacted
RY-ENQ-00035342,RY-CONT-00169132,,RY-OFFER-048,2025-05-12,Paid social,Closed
RY-ENQ-00036359,RY-CONT-00158912,,RY-OFFER-046,2024-02-02,Referral,Contacted
RY-ENQ-00036504,RY-CONT-00205758,,RY-OFFER-015,2023-10-19,Career expo,Contacted
RY-ENQ-00037777,RY-CONT-01114608,,RY-OFFER-052,2025-04-24,Paid social,Closed
RY-ENQ-00039845,RY-CONT-00158770,,RY-OFFER-089,2023-04-14,Radio,Closed
RY-ENQ-00041694,RY-CONT-00070091,,RY-OFFER-047,2025-01-11,Paid social,Qualified
RY-ENQ-00043625,RY-CONT-00125210,,RY-OFFER-049,2023-06-08,Email,New
RY-ENQ-00044814,RY-CONT-00096505,,RY-OFFER-074,2025-09-05,Google Ads,New
RY-ENQ-00049436,RY-CONT-00020625,,RY-OFFER-082,2024-03-13,Google Ads,Contacted
RY-ENQ-00050408,RY-CONT-00192832,,RY-OFFER-036,2022-05-07,Career expo,Contacted
RY-ENQ-00051880,RY-CONT-00130799,,RY-OFFER-068,2025-08-12,Paid social,Contacted
RY-ENQ-00052221,RY-CONT-00141934,,RY-OFFER-061,2024-10-31,Radio,New
RY-ENQ-00052367,RY-CONT-00108365,,RY-OFFER-022,2022-04-11,Open day,Contacted
RY-ENQ-00058130,RY-CONT-00060405,,RY-OFFER-037,2022-01-27,Paid social,New
RY-ENQ-00059899,RY-CONT-00101189,,RY-OFFER-041,2023-04-01,Paid social,Contacted
RY-ENQ-00060501,RY-CONT-01123977,,RY-OFFER-021,2025-08-21,Referral,New
RY-ENQ-00062856,RY-CONT-00196544,,RY-OFFER-079,2026-07-08,Webinar,Qualified
RY-ENQ-00063269,RY-CONT-01111319,,RY-OFFER-002,2023-03-10,Paid social,Closed
RY-ENQ-00064465,RY-CONT-00110495,,RY-OFFER-030,2023-11-04,Career expo,New
RY-ENQ-00066368,RY-CONT-00028034,,RY-OFFER-003,2023-04-25,Referral,New
RY-ENQ-00068960,RY-CONT-00202606,,RY-OFFER-026,2023-06-21,Paid social,Qualified
RY-ENQ-00074885,RY-CONT-00105947,,RY-OFFER-030,2022-07-11,Career expo,Contacted
RY-ENQ-00075867,RY-CONT-00067709,,RY-OFFER-002,2026-04-29,Google Ads,Contacted
RY-ENQ-00081680,RY-CONT-01121087,,RY-OFFER-042,2024-04-01,Organic search,New
RY-ENQ-00086658,RY-CONT-00124211,,RY-OFFER-023,2024-08-27,Organic search,New
RY-ENQ-00087695,RY-CONT-00060281,,RY-OFFER-008,2026-05-08,Paid social,Contacted
RY-ENQ-00088692,RY-CONT-00196021,,RY-OFFER-082,2025-02-14,Paid social,Contacted
RY-ENQ-00091155,RY-CONT-01112753,,RY-OFFER-039,2023-09-10,Organic search,Qualified
RY-ENQ-00095762,RY-CONT-01128678,,RY-OFFER-056,2022-03-03,Referral,Qualified
RY-ENQ-00096630,RY-CONT-01131928,,RY-OFFER-075,2022-05-04,Open day,Qualified
RY-ENQ-00101726,RY-CONT-01135278,,RY-OFFER-032,2025-04-12,Referral,Qualified
RY-ENQ-00104276,RY-CONT-00005310,,RY-OFFER-042,2023-08-25,Referral,Qualified
RY-ENQ-00105144,RY-CONT-00000359,,RY-OFFER-014,2022-09-18,Paid social,New
RY-ENQ-00108957,RY-CONT-01126763,,RY-OFFER-058,2024-03-27,Webinar,New
RY-ENQ-00112342,RY-CONT-00063101,,RY-OFFER-072,2023-12-18,Email,Closed
RY-ENQ-00119428,RY-CONT-00058620,,RY-OFFER-047,2022-09-23,Webinar,Contacted
RY-ENQ-00122654,RY-CONT-00141934,,RY-OFFER-050,2026-06-25,Email,New
RY-ENQ-00125080,RY-CONT-01135159,,RY-OFFER-083,2025-01-25,Google Ads,Closed
RY-ENQ-00125297,RY-CONT-01124947,,RY-OFFER-089,2023-03-05,Organic search,New
RY-ENQ-00129234,RY-CONT-00083593,,RY-OFFER-024,2024-04-11,Email,Contacted
RY-ENQ-00132600,RY-CONT-00028716,,RY-OFFER-022,2022-05-11,Paid social,Closed
RY-ENQ-00132653,RY-CONT-00018403,,RY-OFFER-030,2024-06-05,Google Ads,Contacted
RY-ENQ-00132704,RY-CONT-00085539,,RY-OFFER-081,2022-08-20,Organic search,Qualified
RY-ENQ-00133024,RY-CONT-00202550,,RY-OFFER-024,2025-07-09,Google Ads,Closed
RY-ENQ-00133348,RY-CONT-00194901,,RY-OFFER-071,2024-07-09,Career expo,Qualified
RY-ENQ-00135248,RY-CONT-00105947,,RY-OFFER-004,2022-05-27,Google Ads,Qualified
RY-ENQ-00135417,RY-CONT-00154264,,RY-OFFER-088,2023-05-28,Referral,New
RY-ENQ-00138212,RY-CONT-01115170,,RY-OFFER-068,2026-02-15,Open day,Contacted
RY-ENQ-00138419,RY-CONT-00044956,,RY-OFFER-061,2024-07-11,Paid social,New
RY-ENQ-00146716,RY-CONT-00139681,,RY-OFFER-058,2026-04-05,Google Ads,Contacted
RY-ENQ-00148505,RY-CONT-01121658,,RY-OFFER-011,2026-03-04,Google Ads,New
RY-ENQ-00149333,RY-CONT-01128611,,RY-OFFER-061,2025-10-17,Paid social,Qualified
RY-ENQ-00151600,RY-CONT-00161726,,RY-OFFER-011,2024-03-21,Open day,Closed
RY-ENQ-00152090,RY-CONT-01112597,,RY-OFFER-019,2022-05-02,Organic search,Qualified
RY-ENQ-00156557,RY-CONT-00167485,,RY-OFFER-029,2026-04-13,Print,Closed
RY-ENQ-00159595,RY-CONT-00160523,,RY-OFFER-032,2025-06-29,Open day,Closed
RY-ENQ-00163442,RY-CONT-00015110,,RY-OFFER-056,2023-06-21,Google Ads,New
RY-ENQ-00164127,RY-CONT-00085539,,RY-OFFER-038,2026-07-20,Google Ads,New
RY-ENQ-00164165,RY-CONT-01126442,,RY-OFFER-068,2025-03-11,Paid social,Contacted
RY-ENQ-00164819,RY-CONT-00158770,,RY-OFFER-084,2026-01-16,Paid social,Qualified
RY-ENQ-00169881,RY-CONT-01114195,,RY-OFFER-068,2023-09-14,Google Ads,New
RY-ENQ-00172451,RY-CONT-01122772,,RY-OFFER-036,2023-02-09,Referral,Contacted
RY-ENQ-00177415,RY-CONT-00163057,,RY-OFFER-016,2025-09-21,Email,New
RY-ENQ-00180057,RY-CONT-01112462,,RY-OFFER-080,2022-07-03,Organic search,New
RY-ENQ-00182553,RY-CONT-00028507,,RY-OFFER-031,2025-01-18,Paid social,Contacted
RY-ENQ-00183800,RY-CONT-00207749,,RY-OFFER-056,2025-12-13,Paid social,Qualified
RY-ENQ-00186424,RY-CONT-00148554,,RY-OFFER-082,2023-01-29,Open day,Closed
RY-ENQ-00187398,RY-CONT-00028034,,RY-OFFER-009,2022-07-14,Paid social,New
RY-ENQ-00190213,RY-CONT-01114608,,RY-OFFER-046,2024-12-10,Google Ads,Qualified
RY-ENQ-00192393,RY-CONT-00172523,,RY-OFFER-055,2022-06-28,Email,New
RY-ENQ-00193554,RY-CONT-00181480,,RY-OFFER-054,2024-08-23,Google Ads,Contacted
RY-ENQ-00197904,RY-CONT-01136384,,RY-OFFER-055,2023-10-18,Paid social,Contacted
RY-ENQ-00199872,RY-CONT-00131702,,RY-OFFER-023,2022-10-11,Referral,Qualified
RY-ENQ-00200230,RY-CONT-00054583,,RY-OFFER-014,2025-12-07,Billboard,New
RY-ENQ-00200445,RY-CONT-00111840,,RY-OFFER-066,2025-10-11,Paid social,New
RY-ENQ-00207721,RY-CONT-00150836,,RY-OFFER-078,2025-03-30,Paid social,Qualified
RY-ENQ-00209935,RY-CONT-01124182,,RY-OFFER-076,2022-05-13,Paid social,New
RY-ENQ-00211829,RY-CONT-00131702,,RY-OFFER-080,2024-03-11,Paid social,Closed
