RY_External_ID__c,Enrolment_Key,Week_Start__c,Attendance_Pct__c,Assessment_Average_Pct__c,Overdue_Assignments__c,Risk_Band__c
RY-PRG-00033776,RY-ENR-00002747,2023-11-20,93.0,63.2,0,Low
RY-PRG-00033777,RY-ENR-00002747,2023-11-27,61.4,54.8,1,Medium
RY-PRG-00033778,RY-ENR-00002747,2023-12-04,85.2,60.2,0,Low
RY-PRG-00033779,RY-ENR-00002747,2023-12-11,71.9,59.4,0,Medium
RY-PRG-00033780,RY-ENR-00002747,2023-12-18,69.4,61.3,0,Medium
RY-PRG-00033781,RY-ENR-00002747,2023-12-25,85.3,66.5,0,Low
RY-PRG-00033782,RY-ENR-00002747,2024-01-01,86.8,75.4,0,Low
RY-PRG-00033783,RY-ENR-00002747,2024-01-08,71.8,51.3,0,Medium
RY-PRG-00033784,RY-ENR-00002747,2024-01-15,69.1,63.9,0,Medium
RY-PRG-00033785,RY-ENR-00002747,2024-01-22,80.7,53.1,0,Low
RY-PRG-00033786,RY-ENR-00002747,2024-01-29,74.0,84.8,0,Low
RY-PRG-00033787,RY-ENR-00002747,2024-02-05,64.6,71.0,0,Medium
RY-PRG-00033788,RY-ENR-00002747,2024-02-12,65.4,72.1,0,Medium
RY-PRG-00033789,RY-ENR-00002747,2024-02-19,91.7,69.5,0,Low
RY-PRG-00033790,RY-ENR-00002747,2024-02-26,91.4,78.0,0,Low
RY-PRG-00033791,RY-ENR-00002747,2024-03-04,100.0,96.3,0,Low
RY-PRG-00033792,RY-ENR-00002747,2024-03-11,50.9,67.2,0,High
RY-PRG-00035536,RY-ENR-00002885,2022-12-04,100.0,80.6,0,Low
RY-PRG-00035537,RY-ENR-00002885,2022-12-11,100.0,77.3,0,Low
RY-PRG-00035538,RY-ENR-00002885,2022-12-18,91.1,100.0,0,Low
RY-PRG-00035539,RY-ENR-00002885,2022-12-25,61.4,44.3,0,Medium
RY-PRG-00035540,RY-ENR-00002885,2023-01-01,48.5,34.0,1,High
RY-PRG-00035541,RY-ENR-00002885,2023-01-08,87.2,53.0,0,Low
RY-PRG-00035542,RY-ENR-00002885,2023-01-15,70.4,63.6,0,Medium
RY-PRG-00035543,RY-ENR-00002885,2023-01-22,64.1,41.9,0,Medium
RY-PRG-00035544,RY-ENR-00002885,2023-01-29,66.6,55.1,0,Medium
RY-PRG-00035545,RY-ENR-00002885,2023-02-05,83.7,65.7,0,Low
RY-PRG-00035546,RY-ENR-00002885,2023-02-12,60.1,47.4,1,Medium
RY-PRG-00035547,RY-ENR-00002885,2023-02-19,64.7,54.2,0,Medium
RY-PRG-00035548,RY-ENR-00002885,2023-02-26,57.6,71.4,0,Medium
RY-PRG-00035549,RY-ENR-00002885,2023-03-05,70.8,45.5,0,Medium
RY-PRG-00035550,RY-ENR-00002885,2023-03-12,63.5,73.8,0,Medium
RY-PRG-00039425,RY-ENR-00003197,2025-06-04,68.9,54.9,0,Medium
RY-PRG-00039426,RY-ENR-00003197,2025-06-11,59.3,48.0,0,Medium
RY-PRG-00039427,RY-ENR-00003197,2025-06-18,89.2,97.1,0,Low
RY-PRG-00039428,RY-ENR-00003197,2025-06-25,83.2,79.4,0,Low
RY-PRG-00039429,RY-ENR-00003197,2025-07-02,94.0,82.4,0,Low
RY-PRG-00039430,RY-ENR-00003197,2025-07-09,70.8,90.4,0,Medium
RY-PRG-00039431,RY-ENR-00003197,2025-07-16,54.0,43.4,0,High
RY-PRG-00039432,RY-ENR-00003197,2025-07-23,83.5,84.5,0,Low
RY-PRG-00039433,RY-ENR-00003197,2025-07-30,79.0,58.9,0,Low
RY-PRG-00039434,RY-ENR-00003197,2025-08-06,46.8,47.4,1,High
RY-PRG-00039435,RY-ENR-00003197,2025-08-13,70.5,61.4,0,Medium
RY-PRG-00039436,RY-ENR-00003197,2025-08-20,85.4,83.1,0,Low
RY-PRG-00039437,RY-ENR-00003197,2025-08-27,100.0,77.9,0,Low
RY-PRG-00039438,RY-ENR-00003197,2025-09-03,86.7,69.1,0,Low
RY-PRG-00039439,RY-ENR-00003197,2025-09-10,79.2,70.1,0,Low
RY-PRG-00039440,RY-ENR-00003197,2025-09-17,65.6,70.2,1,Medium
RY-PRG-00039441,RY-ENR-00003197,2025-09-24,59.8,52.6,0,Medium
RY-PRG-00053002,RY-ENR-00004291,2023-06-08,100.0,72.2,0,Low
RY-PRG-00053003,RY-ENR-00004291,2023-06-15,97.9,100.0,0,Low
RY-PRG-00053004,RY-ENR-00004291,2023-06-22,75.0,62.4,0,Low
RY-PRG-00053005,RY-ENR-00004291,2023-06-29,89.3,100.0,0,Low
RY-PRG-00053006,RY-ENR-00004291,2023-07-06,85.1,79.2,0,Low
RY-PRG-00053007,RY-ENR-00004291,2023-07-13,68.5,63.6,0,Medium
RY-PRG-00053008,RY-ENR-00004291,2023-07-20,69.0,73.1,0,Medium
RY-PRG-00053009,RY-ENR-00004291,2023-07-27,54.7,69.5,1,High
RY-PRG-00053010,RY-ENR-00004291,2023-08-03,57.0,46.9,0,Medium
RY-PRG-00053011,RY-ENR-00004291,2023-08-10,85.4,63.2,0,Low
RY-PRG-00053012,RY-ENR-00004291,2023-08-17,85.0,61.4,0,Low
RY-PRG-00053013,RY-ENR-00004291,2023-08-24,77.0,58.9,0,Low
RY-PRG-00053014,RY-ENR-00004291,2023-08-31,83.0,84.3,0,Low
RY-PRG-00053015,RY-ENR-00004291,2023-09-07,78.3,82.7,0,Low
RY-PRG-00053016,RY-ENR-00004291,2023-09-14,66.3,63.0,1,Medium
