RY_External_ID__c,Contact_Key,Student_Number__c
RY-STU-00005628,RY-CONT-00181480,RY2025005628
RY-STU-00006623,RY-CONT-00122308,RY2025006623
RY-STU-00007394,RY-CONT-00205605,RY2026007394
RY-STU-00007905,RY-CONT-01124980,RY2022007905
RY-STU-00010728,RY-CONT-00189440,RY2025010728
RY-STU-00019189,RY-CONT-01111319,RY2026019189
RY-STU-00022345,RY-CONT-00085539,RY2022022345
RY-STU-00022933,RY-CONT-00153682,RY2025022933
RY-STU-00024569,RY-CONT-00018403,RY2026024569
RY-STU-00026831,RY-CONT-00064267,RY2023026831
RY-STU-00033033,RY-CONT-00105947,RY2025033033
RY-STU-00034045,RY-CONT-01113292,RY2022034045
RY-STU-00046304,RY-CONT-00028716,RY2026046304
RY-STU-00051157,RY-CONT-01114195,RY2024051157
RY-STU-00054085,RY-CONT-01128678,RY2022054085
RY-STU-00055363,RY-CONT-00080304,RY2025055363
RY-STU-00059431,RY-CONT-00069092,RY2023059431
RY-STU-00060111,RY-CONT-01134532,RY2023060111
RY-STU-00061289,RY-CONT-00054274,RY2026061289
RY-STU-00065404,RY-CONT-00056903,RY2026065404
RY-STU-00067730,RY-CONT-00141934,RY2022067730
RY-STU-00075238,RY-CONT-00160954,RY2025075238
RY-STU-00075440,RY-CONT-01129134,RY2022075440
RY-STU-00079732,RY-CONT-01137094,RY2024079732
RY-STU-00082539,RY-CONT-00086878,RY2026082539
RY-STU-00085879,RY-CONT-01119248,RY2026085879
RY-STU-00088104,RY-CONT-00091811,RY2026088104
RY-STU-00099622,RY-CONT-00133642,RY2024099622
RY-STU-00100257,RY-CONT-01113449,RY2024100257
RY-STU-00101213,RY-CONT-00019294,RY2025101213
RY-STU-00105920,RY-CONT-00021343,RY2022105920
RY-STU-00106059,RY-CONT-00110495,RY2026106059
RY-STU-00106574,RY-CONT-00040076,RY2026106574
RY-STU-00107472,RY-CONT-01126763,RY2024107472
RY-STU-00107784,RY-CONT-00031014,RY2026107784
RY-STU-00110279,RY-CONT-00170117,RY2026110279
RY-STU-00110420,RY-CONT-00182520,RY2022110420
RY-STU-00117388,RY-CONT-00167071,RY2025117388
RY-STU-00119037,RY-CONT-01133146,RY2024119037
RY-STU-00122229,RY-CONT-01119261,RY2026122229
RY-STU-00123578,RY-CONT-01126872,RY2025123578
RY-STU-00126882,RY-CONT-00083695,RY2024126882
RY-STU-00127286,RY-CONT-00133642,RY2023127286
RY-STU-00136711,RY-CONT-00139681,RY2023136711
RY-STU-00137458,RY-CONT-00176538,RY2025137458
RY-STU-00137854,RY-CONT-00197451,RY2026137854
RY-STU-00139046,RY-CONT-00141934,RY2023139046
RY-STU-00141965,RY-CONT-01129134,RY2022141965
RY-STU-00142166,RY-CONT-00038168,RY2023142166
RY-STU-00142540,RY-CONT-00029820,RY2022142540
RY-STU-00150645,RY-CONT-00096220,RY2022150645
RY-STU-00164496,RY-CONT-00158770,RY2023164496
