RY_External_ID__c,Offering_Key,Start_Date__c
RY-DIRTY-INTAKE-003,RY-DIRTY-OFFER-003,2027-03-01
RY-DIRTY-INTAKE-009,RY-DIRTY-OFFER-009,2027-02-15
RY-DIRTY-INTAKE-012,RY-DIRTY-OFFER-012,2027-02-15
RY-DIRTY-INTAKE-013,RY-DIRTY-OFFER-013,2027-02-15
RY-DIRTY-INTAKE-014,RY-DIRTY-OFFER-014,2097-09-28
RY-DIRTY-INTAKE-016,RY-DIRTY-OFFER-016,2026-09-14
RY-DIRTY-INTAKE-017,RY-DIRTY-OFFER-017,2026-09-21
RY-DIRTY-INTAKE-018,RY-DIRTY-OFFER-018,2026-09-21
RY-DIRTY-INTAKE-019,RY-DIRTY-OFFER-019,2026-09-21
RY-DIRTY-INTAKE-020,RY-DIRTY-OFFER-020,2026-09-28
RY-DIRTY-INTAKE-021,RY-DIRTY-OFFER-021,2026-09-28
RY-DIRTY-INTAKE-022,RY-DIRTY-OFFER-022,2026-09-28
RY-DIRTY-INTAKE-023,RY-DIRTY-OFFER-023,2026-09-28
RY-DIRTY-INTAKE-024,RY-DIRTY-OFFER-024,2026-09-28
RY-DIRTY-INTAKE-025,RY-DIRTY-OFFER-025,2026-09-28
RY-DIRTY-INTAKE-026,RY-DIRTY-OFFER-026,2026-10-05
RY-DIRTY-INTAKE-027,RY-DIRTY-OFFER-027,2026-10-05
RY-DIRTY-INTAKE-028,RY-DIRTY-OFFER-028,2026-10-26
RY-DIRTY-INTAKE-029,RY-DIRTY-OFFER-029,2026-10-26
RY-DIRTY-INTAKE-030,RY-DIRTY-OFFER-030,2026-11-02
RY-DIRTY-INTAKE-031,RY-DIRTY-OFFER-031,2026-11-02
RY-DIRTY-INTAKE-032,RY-DIRTY-OFFER-032,2026-11-09
RY-DIRTY-INTAKE-033,RY-DIRTY-OFFER-033,2026-11-09
RY-DIRTY-INTAKE-034,RY-DIRTY-OFFER-034,2026-11-16
RY-DIRTY-INTAKE-035,RY-DIRTY-OFFER-035,2026-11-16
RY-DIRTY-INTAKE-036,RY-DIRTY-OFFER-036,2026-11-23
RY-DIRTY-INTAKE-037,RY-DIRTY-OFFER-037,2027-01-25
RY-DIRTY-INTAKE-038,RY-DIRTY-OFFER-038,2027-01-25
RY-DIRTY-INTAKE-039,RY-DIRTY-OFFER-039,2027-02-01
RY-DIRTY-INTAKE-040,RY-DIRTY-OFFER-040,2027-02-15
RY-DIRTY-INTAKE-041,RY-DIRTY-OFFER-041,2027-02-15
RY-DIRTY-INTAKE-042,RY-DIRTY-OFFER-042,2027-02-15
RY-DIRTY-INTAKE-043,RY-DIRTY-OFFER-043,2027-02-15
RY-DIRTY-INTAKE-044,RY-DIRTY-OFFER-044,2027-02-15
RY-DIRTY-INTAKE-045,RY-DIRTY-OFFER-045,2027-02-15
RY-DIRTY-INTAKE-046,RY-DIRTY-OFFER-046,2027-02-15
RY-DIRTY-INTAKE-047,RY-DIRTY-OFFER-047,2027-02-15
RY-DIRTY-INTAKE-048,RY-DIRTY-OFFER-048,2027-02-22
RY-DIRTY-INTAKE-049,RY-DIRTY-OFFER-049,2027-02-22
RY-DIRTY-INTAKE-050,RY-DIRTY-OFFER-050,2027-02-22
RY-DIRTY-INTAKE-051,RY-DIRTY-OFFER-051,2027-03-01
RY-DIRTY-INTAKE-052,RY-DIRTY-OFFER-052,2027-03-01
RY-DIRTY-INTAKE-053,RY-DIRTY-OFFER-053,2027-03-01
RY-DIRTY-INTAKE-054,RY-DIRTY-OFFER-054,2027-03-01
RY-DIRTY-INTAKE-055,RY-DIRTY-OFFER-055,2027-03-01
RY-DIRTY-INTAKE-056,RY-DIRTY-OFFER-056,2027-03-08
RY-DIRTY-INTAKE-057,RY-DIRTY-OFFER-057,2027-03-23
RY-DIRTY-INTAKE-003-DUP01,RY-DIRTY-OFFER-003,2027-03-01
RY-DIRTY-INTAKE-009-DUP02,RY-DIRTY-OFFER-009,2027-02-15
