RY_External_ID__c,Title__c,Category__c,Credential_Text__c,Listed_Body__c
,Advanced Diploma in Copywriting,advanced diploma ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-002,Bachelor of Arts Honours in Visual Communication Design,Postgraduate programme,,Council on Higher Education (CHE)
RY-DIRTY-PROG-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",Certificate,,Quality Council for Trades and Occupations (QCTO)
RY-DIRTY-PROG-004,Bachelor of Arts in Visual Communication,degree ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-005,Bachelor of Business Administration in Marketing and Brand Management,Degree,,Council on Higher Education (CHE)
RY-DIRTY-PROG-006,Bachelor of Commerce in Marketing,Degree,,Council on Higher Education (CHE)
RY-DIRTY-PROG-007,Advanced Diploma in User Centered Design,advanced diploma ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-008,Postgraduate Diploma: Creative Leadership,Postgraduate programme,,Council on Higher Education (CHE)
RY-DIRTY-PROG-009,Higher Certificate in Business Management,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-010,Higher Certificate in Creating Digital Content,certificate ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-011,Higher Certificate in Graphic Design,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-012,Higher Certificate in Marketing and Branding,Certificate,,Council on Higher Education (CHE)
RY-DIRTY-PROG-013,Postgraduate Diploma in Management,postgraduate programme ,,Council on Higher Education (CHE)
RY-DIRTY-PROG-014,Postgraduate Diploma in Digital Marketing,Postgraduate programme,,Council on Higher Education (CHE)
RY-DIRTY-PROG-015,Advanced Diploma in Marketing & Advertising Communications,Advanced diploma,,Council on Higher Education (CHE)
RY-DIRTY-PROG-016,Design Thinking,short course ,R&Y Certificate of Completion,
RY-DIRTY-PROG-017,Performance Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-018,Graphic Design Beginner,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-019,User Experience Design,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-020,Business Analysis,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-021,Data Analysis,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-022,Storytelling for Impact & Influence,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-023,Interior Decorating,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-024,Creative Thinking,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-025,Project Management,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-026,Media Planning,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-027,Mentorship,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-028,Sales & Account Management,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-029,Digital Content & Copywriting,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-030,Copywriting,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-031,Data Visualisation for Designers,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-032,Graphic Design Intermediate with Adobe Photoshop,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-033,Customer Experience,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-034,Data Analysis for Marketers,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-035,Marketing Strategy,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-036,Digital Marketing Professional,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-037,Social Media Marketing,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-038,Desktop Publishing with InDesign,Short course,R&Y Certificate of Completion,
RY-DIRTY-PROG-039,Shopper Marketing,Short course,R&Y Certificate of Completion,
