Id,Salesforce_Link,Name,RY_External_ID__c,CreatedDate
001jX000000CYlvQAG,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CYlvQAG/view,Woolworths Holdings,RY-ACC-0001,2026-09-09T10:49:53.000+0000
001jX000000CdX4QAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdX4QAK/view,Discovery Limited,RY-ACC-0002,2026-09-09T10:49:56.000+0000
001jX000000CaKhQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CaKhQAK/view,Capitec Bank,RY-ACC-0003,2026-09-09T10:49:58.000+0000
001jX000000CcG3QAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CcG3QAK/view,Takealot Group,RY-ACC-0004,2026-09-09T10:50:00.000+0000
001jX000000Cc1dQAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Cc1dQAC/view,Nando's Group,RY-ACC-0005,2026-09-09T10:50:03.000+0000
001jX000000CdjzQAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdjzQAC/view,Investec,RY-ACC-0006,2026-09-09T10:50:05.000+0000
001jX000000CbS4QAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CbS4QAK/view,MultiChoice,RY-ACC-0007,2026-09-09T10:50:08.000+0000
001jX000000CbDbQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CbDbQAK/view,Shoprite Holdings,RY-ACC-0008,2026-09-09T10:50:10.000+0000
001jX000000Ce89QAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Ce89QAC/view,Sanlam,RY-ACC-0009,2026-09-09T10:50:12.000+0000
001jX000000Cae2QAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Cae2QAC/view,Old Mutual,RY-ACC-0010,2026-09-09T10:50:14.000+0000
001jX000000CdfDQAS,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdfDQAS/view,Vodacom,RY-ACC-0011,2026-09-09T10:50:17.000+0000
001jX000000CYqyQAG,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CYqyQAG/view,Standard Bank,RY-ACC-0012,2026-09-09T10:50:19.000+0000
001jX000000CaEIQA0,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CaEIQA0/view,Clicks Group,RY-ACC-0013,2026-09-09T10:50:21.000+0000
001jX000000CdQfQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdQfQAK/view,Tiger Brands,RY-ACC-0014,2026-09-09T10:50:24.000+0000
001jX000000Ccw0QAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Ccw0QAC/view,Distell,RY-ACC-0015,2026-09-09T10:50:26.000+0000
001jX000000Cd2SQAS,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Cd2SQAS/view,Mediclinic,RY-ACC-0016,2026-09-09T10:50:28.000+0000
001jX000000CdQgQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdQgQAK/view,Bidvest,RY-ACC-0017,2026-09-09T10:50:29.000+0000
001jX000000Ca9WQAS,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Ca9WQAS/view,Pick n Pay,RY-ACC-0018,2026-09-09T10:50:31.000+0000
001jX000000CbWvQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CbWvQAK/view,Nedbank,RY-ACC-0019,2026-09-09T10:50:33.000+0000
001jX000000Ce9lQAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Ce9lQAC/view,Telkom,RY-ACC-0020,2026-09-09T10:50:35.000+0000
001jX000000CZyBQAW,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CZyBQAW/view,Momentum Metropolitan,RY-ACC-0021,2026-09-09T10:50:37.000+0000
001jX000000CdDlQAK,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CdDlQAK/view,Aspen Pharmacare,RY-ACC-0022,2026-09-09T10:50:39.000+0000
001jX000000Cc6PQAS,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000Cc6PQAS/view,Dis-Chem,RY-ACC-0023,2026-09-09T10:50:40.000+0000
001jX000000CbrtQAC,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CbrtQAC/view,Massmart,RY-ACC-0024,2026-09-09T10:50:42.000+0000
001jX000000CZN2QAO,https://business-data-62022.lightning.force.com/lightning/r/Account/001jX000000CZN2QAO/view,Cape Union Mart,RY-ACC-0025,2026-09-09T10:50:44.000+0000
