Id,Salesforce_Link,Name,StageName,CloseDate,AccountId,RY_External_ID__c,RY_Sample_Stage__c,RY_Expected_Value_ZAR__c,CreatedDate
006jX00000062GwQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062GwQAI/view,Copywriting - Application Sent,Qualify,2025-12-15,,RY-OPP-00007042,Application Sent,12761.65,2026-09-09T12:58:31.000+0000
006jX00000064vRQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000064vRQAQ/view,Data Analysis for Marketers - Application Sent,Qualify,2025-06-20,,RY-OPP-00013159,Application Sent,11135.22,2026-09-09T12:55:20.000+0000
006jX000000620tQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX000000620tQAA/view,Graphic Design Beginner - Closed Lost,Qualify,2024-04-10,,RY-OPP-00016966,Closed Lost,11970.97,2026-09-09T12:59:15.000+0000
006jX00000066NiQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066NiQAI/view,Higher Certificate in Marketing and Branding - Closed Lost,Qualify,2024-08-31,,RY-OPP-00021951,Closed Lost,,2026-09-09T12:56:55.000+0000
006jX00000065rTQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065rTQAQ/view,Data Visualisation for Designers - Offer Made,Qualify,2022-07-22,,RY-OPP-00022379,Offer Made,14464.63,2026-09-09T12:56:34.000+0000
006jX00000062NMQAY,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000062NMQAY/view,Part-Time Higher Certificate in Business Management - Enquiry,Qualify,2026-06-02,,RY-OPP-00023260,Enquiry,,2026-09-09T12:57:50.000+0000
006jX00000065UwQAI,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065UwQAI/view,Mentorship - Qualification,Qualify,2024-03-19,,RY-OPP-00025814,Qualification,,2026-09-09T12:57:16.000+0000
006jX00000065bOQAQ,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065bOQAQ/view,Part-Time Postgraduate Diploma in Management - Enquiry,Qualify,2026-04-10,,RY-OPP-00026939,Enquiry,,2026-09-09T12:52:57.000+0000
006jX00000065hoQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000065hoQAA/view,AI & Executive Judgement - Closed Won,Qualify,2023-09-06,,RY-OPP-00028098,Closed Won,20751.1,2026-09-09T13:00:04.000+0000
006jX00000066qjQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000066qjQAA/view,Customer Experience - Application Sent,Qualify,2024-07-01,,RY-OPP-00028415,Application Sent,10854.11,2026-09-09T12:57:02.000+0000
006jX00000060jmQAA,https://business-data-62022.lightning.force.com/lightning/r/Opportunity/006jX00000060jmQAA/view,Management Development Programme: Agency Leadership - Closed Lost,Qualify,2026-10-08,,RY-OPP-00028706,Closed Lost,27221.56,2026-09-09T12:53:58.000+0000
