RY_External_ID__c,Name,IsActive,StartDate,RY_Channel__c,RY_Spend_ZAR__c
RYSCALE-CAM-000000001,DEMO Recruitment 00001,false,2016-02-01,Email,5137
RYSCALE-CAM-000000002,DEMO Recruitment 00002,false,2017-03-01,Organic search,5274
RYSCALE-CAM-000000003,DEMO Recruitment 00003,false,2018-04-01,Webinar,5411
RYSCALE-CAM-000000004,DEMO Recruitment 00004,false,2019-05-01,Paid social,5548
RYSCALE-CAM-000000005,DEMO Recruitment 00005,false,2020-06-01,Email,5685
RYSCALE-CAM-000000006,DEMO Recruitment 00006,false,2021-07-01,Organic search,5822
RYSCALE-CAM-000000007,DEMO Recruitment 00007,false,2022-08-01,Webinar,5959
RYSCALE-CAM-000000008,DEMO Recruitment 00008,false,2023-09-01,Paid social,6096
RYSCALE-CAM-000000009,DEMO Recruitment 00009,false,2024-10-01,Email,6233
RYSCALE-CAM-000000010,DEMO Recruitment 00010,false,2025-11-01,Organic search,6370
RYSCALE-CAM-000000011,DEMO Recruitment 00011,false,2026-12-01,Webinar,6507
RYSCALE-CAM-000000012,DEMO Recruitment 00012,false,2015-01-01,Paid social,6644
RYSCALE-CAM-000000013,DEMO Recruitment 00013,false,2016-02-01,email ,6781
RYSCALE-CAM-000000014,DEMO Recruitment 00014,false,2017-03-01,Organic search,6918
RYSCALE-CAM-000000015,DEMO Recruitment 00015,false,2018-04-01,Webinar,7055
RYSCALE-CAM-000000016,DEMO Recruitment 00016,false,2019-05-01,Paid social,7192
RYSCALE-CAM-000000017,DEMO Recruitment 00017,false,2020-06-01,Email,7329
RYSCALE-CAM-000000018,DEMO Recruitment 00018,false,2021-07-01,Organic search,7466
RYSCALE-CAM-000000019,DEMO Recruitment 00019,false,2022-08-01,Webinar,7603
RYSCALE-CAM-000000020,DEMO Recruitment 00020,false,2023-09-01,Paid social,7740
RYSCALE-CAM-000000021,DEMO Recruitment 00021,false,2024-10-01,Email,7877
RYSCALE-CAM-000000022,DEMO Recruitment 00022,false,2025-11-01,Organic search,8014
RYSCALE-CAM-000000023,DEMO Recruitment 00023,false,2026-12-01,Webinar,8151
RYSCALE-CAM-000000024,DEMO Recruitment 00024,false,2015-01-01,Paid social,8288
RYSCALE-CAM-000000025,DEMO Recruitment 00025,false,2016-02-01,Email,8425
RYSCALE-CAM-000000026,DEMO Recruitment 00026,false,2017-03-01,organic_search ,8562
RYSCALE-CAM-000000027,DEMO Recruitment 00027,false,2018-04-01,Webinar,8699
RYSCALE-CAM-000000028,DEMO Recruitment 00028,false,2019-05-01,Paid social,8836
RYSCALE-CAM-000000029,DEMO Recruitment 00029,false,2020-06-01,Email,8973
RYSCALE-CAM-000000030,DEMO Recruitment 00030,false,2021-07-01,Organic search,9110
RYSCALE-CAM-000000031,DEMO Recruitment 00031,false,2022-08-01,Webinar,9247
RYSCALE-CAM-000000032,DEMO Recruitment 00032,false,2023-09-01,Paid social,9384
RYSCALE-CAM-000000033,DEMO Recruitment 00033,false,2024-10-01,Email,9521
RYSCALE-CAM-000000034,DEMO Recruitment 00034,false,2025-11-01,Organic search,9658
RYSCALE-CAM-000000035,DEMO Recruitment 00035,false,2026-12-01,Webinar,9795
RYSCALE-CAM-000000036,DEMO Recruitment 00036,false,2015-01-01,Paid social,9932
RYSCALE-CAM-000000037,DEMO Recruitment 00037,false,2016-02-01,Email,10069
RYSCALE-CAM-000000038,DEMO Recruitment 00038,false,2017-03-01,Organic search,10206
RYSCALE-CAM-000000039,DEMO Recruitment 00039,false,2018-04-01,webinar ,10343
RYSCALE-CAM-000000040,DEMO Recruitment 00040,false,2019-05-01,Paid social,10480
RYSCALE-CAM-000000041,DEMO Recruitment 00041,false,2020-06-01,Email,10617
RYSCALE-CAM-000000042,DEMO Recruitment 00042,false,2021-07-01,Organic search,10754
RYSCALE-CAM-000000043,DEMO Recruitment 00043,false,2022-08-01,Webinar,10891
RYSCALE-CAM-000000044,DEMO Recruitment 00044,false,2023-09-01,Paid social,11028
RYSCALE-CAM-000000045,DEMO Recruitment 00045,false,2024-10-01,Email,11165
RYSCALE-CAM-000000046,DEMO Recruitment 00046,false,2025-11-01,Organic search,11302
RYSCALE-CAM-000000047,DEMO Recruitment 00047,false,2026-12-01,Webinar,11439
RYSCALE-CAM-000000048,DEMO Recruitment 00048,false,2015-01-01,Paid social,11576
RYSCALE-CAM-000000049,DEMO Recruitment 00049,false,2016-02-01,Email,11713
RYSCALE-CAM-000000050,demo recruitment 00049 ,false,2017-03-01,Organic search,11850
RYSCALE-CAM-000000051,DEMO Recruitment 00051,false,2018-04-01,Webinar,11987
