RY_External_ID__c,Campaign_Key,Contact_Key,Lead_Key
RYSCALE-CM-000000001,RYSCALE-CAM-000000007,RYSCALE-CON-000000001,
RYSCALE-CM-000000002,RYSCALE-CAM-000000014,RYSCALE-CON-000000002,
RYSCALE-CM-000000003,RYSCALE-CAM-000000021,RYSCALE-CON-000000003,
RYSCALE-CM-000000004,RYSCALE-CAM-000000028,RYSCALE-CON-000000004,
RYSCALE-CM-000000005,RYSCALE-CAM-000000035,RYSCALE-CON-000000005,
RYSCALE-CM-000000006,RYSCALE-CAM-000000042,RYSCALE-CON-000000006,
RYSCALE-CM-000000007,RYSCALE-CAM-000000049,RYSCALE-CON-000000007,
RYSCALE-CM-000000008,RYSCALE-CAM-000000056,RYSCALE-CON-000000008,
RYSCALE-CM-000000009,RYSCALE-CAM-000000063,RYSCALE-CON-000000009,
RYSCALE-CM-000000010,RYSCALE-CAM-000000070,RYSCALE-CON-000000010,
RYSCALE-CM-000000011,RYSCALE-CAM-000000077,RYSCALE-CON-000000011,
RYSCALE-CM-000000012,RYSCALE-CAM-000000084,RYSCALE-CON-000000012,
RYSCALE-CM-000000013,RYSCALE-CAM-000000091,RYSCALE-CON-000000013,
RYSCALE-CM-000000014,RYSCALE-CAM-000000098,RYSCALE-CON-000000014,
RYSCALE-CM-000000015,RYSCALE-CAM-000000105,RYSCALE-CON-000000015,
RYSCALE-CM-000000016,RYSCALE-CAM-000000112,RYSCALE-CON-000000016,
RYSCALE-CM-000000017,RYSCALE-CAM-000000119,RYSCALE-CON-000000017,
RYSCALE-CM-000000018,RYSCALE-CAM-000000126,RYSCALE-CON-000000018,
RYSCALE-CM-000000019,RYSCALE-CAM-000000133,RYSCALE-CON-000000019,
RYSCALE-CM-000000020,RYSCALE-CAM-000000140,RYSCALE-CON-000000020,
RYSCALE-CM-000000021,RYSCALE-CAM-000000147,RYSCALE-CON-000000021,
RYSCALE-CM-000000022,RYSCALE-CAM-000000154,RYSCALE-CON-000000022,
RYSCALE-CM-000000023,RYSCALE-CAM-000000161,RYSCALE-CON-000000023,
RYSCALE-CM-000000024,RYSCALE-CAM-000000168,RYSCALE-CON-000000024,
RYSCALE-CM-000000025,RYSCALE-CAM-000000175,RYSCALE-CON-000000025,
RYSCALE-CM-000000026,RYSCALE-CAM-000000182,RYSCALE-CON-000000026,
RYSCALE-CM-000000027,RYSCALE-CAM-000000189,RYSCALE-CON-000000027,
RYSCALE-CM-000000028,RYSCALE-CAM-000000196,RYSCALE-CON-000000028,
RYSCALE-CM-000000029,RYSCALE-CAM-000000203,RYSCALE-CON-000000029,
RYSCALE-CM-000000030,RYSCALE-CAM-000000210,RYSCALE-CON-000000030,
RYSCALE-CM-000000031,RYSCALE-CAM-000000217,RYSCALE-CON-000000031,
RYSCALE-CM-000000032,RYSCALE-CAM-000000224,RYSCALE-CON-000000032,
RYSCALE-CM-000000033,RYSCALE-CAM-000000231,RYSCALE-CON-000000033,
RYSCALE-CM-000000034,RYSCALE-CAM-000000238,RYSCALE-CON-000000034,
RYSCALE-CM-000000035,RYSCALE-CAM-000000245,RYSCALE-CON-000000035,
RYSCALE-CM-000000036,RYSCALE-CAM-000000252,RYSCALE-CON-000000036,
RYSCALE-CM-000000037,RYSCALE-CAM-000000259,RYSCALE-CON-000000037,
RYSCALE-CM-000000038,RYSCALE-CAM-000000266,RYSCALE-CON-000000038,
RYSCALE-CM-000000039,RYSCALE-CAM-000000273,RYSCALE-CON-000000039,
RYSCALE-CM-000000040,RYSCALE-CAM-000000280,RYSCALE-CON-000000040,
RYSCALE-CM-000000041,RYSCALE-CAM-000000287,RYSCALE-CON-000000041,
RYSCALE-CM-000000042,RYSCALE-CAM-000000294,RYSCALE-CON-000000042,
RYSCALE-CM-000000043,RYSCALE-CAM-000000301,RYSCALE-CON-000000043,
RYSCALE-CM-000000044,RYSCALE-CAM-000000308,RYSCALE-CON-000000044,
RYSCALE-CM-000000045,RYSCALE-CAM-000000315,RYSCALE-CON-000000045,
RYSCALE-CM-000000046,RYSCALE-CAM-000000322,RYSCALE-CON-000000046,
RYSCALE-CM-000000047,RYSCALE-CAM-000000329,RYSCALE-CON-000000047,
RYSCALE-CM-000000048,RYSCALE-CAM-000000336,RYSCALE-CON-000000048,
RYSCALE-CM-000000049,RYSCALE-CAM-000000343,RYSCALE-CON-000000049,
RYSCALE-CM-000000050,RYSCALE-CAM-000000350,RYSCALE-CON-000000050,
RYSCALE-CM-000000051,RYSCALE-CAM-000000357,RYSCALE-CON-000000051,
RYSCALE-CM-000000052,RYSCALE-CAM-000000364,RYSCALE-CON-000000052,
RYSCALE-CM-000000053,RYSCALE-CAM-000000371,RYSCALE-CON-000000053,
RYSCALE-CM-000000054,RYSCALE-CAM-000000378,RYSCALE-CON-000000054,
RYSCALE-CM-000000055,RYSCALE-CAM-000000385,RYSCALE-CON-000000055,
RYSCALE-CM-000000056,RYSCALE-CAM-000000392,RYSCALE-CON-000000056,
RYSCALE-CM-000000057,RYSCALE-CAM-000000399,RYSCALE-CON-000000057,
RYSCALE-CM-000000058,RYSCALE-CAM-000000406,RYSCALE-CON-000000058,
RYSCALE-CM-000000059,RYSCALE-CAM-000000413,RYSCALE-CON-000000059,
RYSCALE-CM-000000060,RYSCALE-CAM-000000420,RYSCALE-CON-000000060,
RYSCALE-CM-000000061,RYSCALE-CAM-000000427,RYSCALE-CON-000000061,
RYSCALE-CM-000000062,RYSCALE-CAM-000000434,RYSCALE-CON-000000062,
RYSCALE-CM-000000063,RYSCALE-CAM-000000441,RYSCALE-CON-000000063,
RYSCALE-CM-000000064,RYSCALE-CAM-000000448,RYSCALE-CON-000000064,
RYSCALE-CM-000000065,RYSCALE-CAM-000000455,RYSCALE-CON-000000065,
RYSCALE-CM-000000066,RYSCALE-CAM-000000462,RYSCALE-CON-000000066,
RYSCALE-CM-000000067,RYSCALE-CAM-000000469,RYSCALE-CON-000000067,
RYSCALE-CM-000000068,RYSCALE-CAM-000000476,RYSCALE-CON-000000068,
RYSCALE-CM-000000069,RYSCALE-CAM-000000483,RYSCALE-CON-000000069,
RYSCALE-CM-000000070,RYSCALE-CAM-000000490,RYSCALE-CON-000000070,
RYSCALE-CM-000000071,RYSCALE-CAM-000000497,RYSCALE-CON-000000071,
RYSCALE-CM-000000072,RYSCALE-CAM-000000504,RYSCALE-CON-000000072,
RYSCALE-CM-000000073,RYSCALE-CAM-000000511,RYSCALE-CON-000000073,
RYSCALE-CM-000000074,RYSCALE-CAM-000000518,RYSCALE-CON-000000074,
RYSCALE-CM-000000075,RYSCALE-CAM-000000525,RYSCALE-CON-000000075,
RYSCALE-CM-000000076,RYSCALE-CAM-000000532,RYSCALE-CON-000000076,
