RY_External_ID__c,Name,Account_Key,Applicant_Key,Campaign_Key,Intake_Key,CloseDate,RY_Sample_Stage__c,RY_Expected_Value_ZAR__c
RYSCALE-OPP-000000001,DEMO Admission 000000001,RYSCALE-ACC-000000001,RYSCALE-CON-000000001,RYSCALE-CAM-000000001,RYSCALE-INT-000000017,2015-02-02,Application submitted,5900
RYSCALE-OPP-000000002,DEMO Admission 000000002,RYSCALE-ACC-000000002,RYSCALE-CON-000000002,RYSCALE-CAM-000000002,RYSCALE-INT-000000034,2015-02-03,Offer accepted,6900
RYSCALE-OPP-000000003,DEMO Admission 000000003,RYSCALE-ACC-000000003,RYSCALE-CON-000000003,RYSCALE-CAM-000000003,RYSCALE-INT-000000051,2015-02-04,Enquiry,7900
RYSCALE-OPP-000000004,DEMO Admission 000000004,RYSCALE-ACC-000000004,RYSCALE-CON-000000004,RYSCALE-CAM-000000004,RYSCALE-INT-000000068,2015-02-05,Enrolled,8900
RYSCALE-OPP-000000005,DEMO Admission 000000005,RYSCALE-ACC-000000005,RYSCALE-CON-000000005,RYSCALE-CAM-000000005,RYSCALE-INT-000000085,2015-02-06,Application submitted,9900
RYSCALE-OPP-000000006,DEMO Admission 000000006,RYSCALE-ACC-000000006,RYSCALE-CON-000000006,RYSCALE-CAM-000000006,RYSCALE-INT-000000102,2015-07-07,Offer accepted,10900
RYSCALE-OPP-000000007,DEMO Admission 000000007,RYSCALE-ACC-000000007,RYSCALE-CON-000000007,RYSCALE-CAM-000000007,RYSCALE-INT-000000119,2015-07-08,Enquiry,11900
RYSCALE-OPP-000000008,DEMO Admission 000000008,RYSCALE-ACC-000000008,RYSCALE-CON-000000008,RYSCALE-CAM-000000008,RYSCALE-INT-000000136,2015-07-09,Enrolled,12900
RYSCALE-OPP-000000009,DEMO Admission 000000009,RYSCALE-ACC-000000009,RYSCALE-CON-000000009,RYSCALE-CAM-000000009,RYSCALE-INT-000000153,2015-07-10,Application submitted,13900
RYSCALE-OPP-000000010,DEMO Admission 000000010,RYSCALE-ACC-000000010,RYSCALE-CON-000000010,RYSCALE-CAM-000000010,RYSCALE-INT-000000170,2015-07-11,Offer accepted,14900
RYSCALE-OPP-000000011,DEMO Admission 000000011,RYSCALE-ACC-000000011,RYSCALE-CON-000000011,RYSCALE-CAM-000000011,RYSCALE-INT-000000187,2016-02-12,Enquiry,15900
RYSCALE-OPP-000000012,DEMO Admission 000000012,RYSCALE-ACC-000000012,RYSCALE-CON-000000012,RYSCALE-CAM-000000012,RYSCALE-INT-000000204,2016-02-13,Enrolled,16900
RYSCALE-OPP-000000013,DEMO Admission 000000013,RYSCALE-ACC-000000013,RYSCALE-CON-000000013,RYSCALE-CAM-000000013,RYSCALE-INT-000000221,2016-02-14,Application submitted,4900
RYSCALE-OPP-000000014,DEMO Admission 000000014,RYSCALE-ACC-000000014,RYSCALE-CON-000000014,RYSCALE-CAM-000000014,RYSCALE-INT-000000238,2016-02-15,Offer accepted,5900
RYSCALE-OPP-000000015,DEMO Admission 000000015,RYSCALE-ACC-000000015,RYSCALE-CON-000000015,RYSCALE-CAM-000000015,RYSCALE-INT-000000255,2016-02-16,Enquiry,6900
RYSCALE-OPP-000000016,DEMO Admission 000000016,RYSCALE-ACC-000000016,RYSCALE-CON-000000016,RYSCALE-CAM-000000016,RYSCALE-INT-000000272,2016-02-17,Enrolled,7900
RYSCALE-OPP-000000017,DEMO Admission 000000017,RYSCALE-ACC-000000017,RYSCALE-CON-000000017,RYSCALE-CAM-000000017,RYSCALE-INT-000000289,2016-07-18,application submited ,8900
RYSCALE-OPP-000000018,DEMO Admission 000000018,RYSCALE-ACC-000000018,RYSCALE-CON-000000018,RYSCALE-CAM-000000018,RYSCALE-INT-000000306,2016-07-19,Offer accepted,9900
RYSCALE-OPP-000000019,DEMO Admission 000000019,RYSCALE-ACC-000000019,RYSCALE-CON-000000019,RYSCALE-CAM-000000019,RYSCALE-INT-000000323,2016-07-20,Enquiry,10900
RYSCALE-OPP-000000020,DEMO Admission 000000020,RYSCALE-ACC-000000020,RYSCALE-CON-000000020,RYSCALE-CAM-000000020,RYSCALE-INT-000000340,2016-07-01,Enrolled,11900
RYSCALE-OPP-000000021,DEMO Admission 000000021,RYSCALE-ACC-000000021,RYSCALE-CON-000000021,RYSCALE-CAM-000000021,RYSCALE-INT-000000357,2016-07-02,Application submitted,12900
RYSCALE-OPP-000000022,DEMO Admission 000000022,RYSCALE-ACC-000000022,RYSCALE-CON-000000022,RYSCALE-CAM-000000022,RYSCALE-INT-000000374,2017-02-03,Offer accepted,13900
RYSCALE-OPP-000000023,DEMO Admission 000000023,RYSCALE-ACC-000000023,RYSCALE-CON-000000023,RYSCALE-CAM-000000023,RYSCALE-INT-000000391,2017-02-04,Enquiry,14900
RYSCALE-OPP-000000024,DEMO Admission 000000024,RYSCALE-ACC-000000024,RYSCALE-CON-000000024,RYSCALE-CAM-000000024,RYSCALE-INT-000000408,2017-02-05,Enrolled,15900
RYSCALE-OPP-000000025,DEMO Admission 000000025,RYSCALE-ACC-000000025,RYSCALE-CON-000000025,RYSCALE-CAM-000000025,RYSCALE-INT-000000425,2017-02-06,Application submitted,16900
RYSCALE-OPP-000000026,DEMO Admission 000000026,RYSCALE-ACC-000000026,RYSCALE-CON-000000026,RYSCALE-CAM-000000026,RYSCALE-INT-000000442,2017-02-07,Offer accepted,4900
RYSCALE-OPP-000000027,DEMO Admission 000000027,RYSCALE-ACC-000000027,RYSCALE-CON-000000027,RYSCALE-CAM-000000027,RYSCALE-INT-000000459,2017-07-08,Enquiry,5900
RYSCALE-OPP-000000028,DEMO Admission 000000028,RYSCALE-ACC-000000028,RYSCALE-CON-000000028,RYSCALE-CAM-000000028,RYSCALE-INT-000000476,2017-07-09,Enrolled,6900
RYSCALE-OPP-000000029,DEMO Admission 000000029,RYSCALE-ACC-000000029,RYSCALE-CON-000000029,RYSCALE-CAM-000000029,RYSCALE-INT-000000493,2017-07-10,Application submitted,7900
RYSCALE-OPP-000000030,DEMO Admission 000000030,RYSCALE-ACC-000000030,RYSCALE-CON-000000030,RYSCALE-CAM-000000030,RYSCALE-INT-000000510,2017-07-11,Offer accepted,8900
RYSCALE-OPP-000000031,DEMO Admission 000000031,RYSCALE-ACC-000000031,RYSCALE-CON-000000031,RYSCALE-CAM-000000031,RYSCALE-INT-000000527,2017-07-12,Enquiry,9900
RYSCALE-OPP-000000032,DEMO Admission 000000032,RYSCALE-ACC-000000032,RYSCALE-CON-000000032,RYSCALE-CAM-000000032,RYSCALE-INT-000000544,2017-07-13,Enrolled,10900
RYSCALE-OPP-000000033,DEMO Admission 000000033,RYSCALE-ACC-000000033,RYSCALE-CON-000000033,RYSCALE-CAM-000000033,RYSCALE-INT-000000561,2018-02-14,Application submitted,11900
RYSCALE-OPP-000000034,DEMO Admission 000000034,RYSCALE-ACC-000000034,RYSCALE-CON-000000034,RYSCALE-CAM-000000034,RYSCALE-INT-000000578,2018-02-15,application submited ,12900
RYSCALE-OPP-000000035,DEMO Admission 000000035,RYSCALE-ACC-000000035,RYSCALE-CON-000000035,RYSCALE-CAM-000000035,RYSCALE-INT-000000595,2018-02-16,Enquiry,13900
RYSCALE-OPP-000000036,DEMO Admission 000000036,RYSCALE-ACC-000000036,RYSCALE-CON-000000036,RYSCALE-CAM-000000036,RYSCALE-INT-000000612,2018-02-17,Enrolled,14900
RYSCALE-OPP-000000037,DEMO Admission 000000037,RYSCALE-ACC-000000037,RYSCALE-CON-000000037,RYSCALE-CAM-000000037,RYSCALE-INT-000000629,2018-02-18,Application submitted,159000
RYSCALE-OPP-000000038,DEMO Admission 000000038,RYSCALE-ACC-000000038,RYSCALE-CON-000000038,RYSCALE-CAM-000000038,RYSCALE-INT-000000646,2018-07-19,Offer accepted,16900
RYSCALE-OPP-000000039,DEMO Admission 000000039,RYSCALE-ACC-000000039,RYSCALE-CON-000000039,RYSCALE-CAM-000000039,RYSCALE-INT-000000663,2018-07-20,Enquiry,4900
RYSCALE-OPP-000000040,DEMO Admission 000000040,RYSCALE-ACC-000000040,RYSCALE-CON-000000040,RYSCALE-CAM-000000040,RYSCALE-INT-000000680,2018-07-01,Enrolled,5900
RYSCALE-OPP-000000041,DEMO Admission 000000041,RYSCALE-ACC-000000041,RYSCALE-CON-000000041,RYSCALE-CAM-000000041,RYSCALE-INT-000000697,2099-01-01,Application submitted,6900
RYSCALE-OPP-000000042,DEMO Admission 000000042,RYSCALE-ACC-000000042,RYSCALE-CON-000000042,RYSCALE-CAM-000000042,RYSCALE-INT-000000714,2018-07-03,Offer accepted,7900
RYSCALE-OPP-000000043,DEMO Admission 000000043,RYSCALE-ACC-000000043,RYSCALE-CON-000000043,RYSCALE-CAM-000000043,RYSCALE-INT-000000731,2019-02-04,Enquiry,8900
RYSCALE-OPP-000000044,DEMO Admission 000000044,RYSCALE-ACC-000000044,RYSCALE-CON-000000044,RYSCALE-CAM-000000044,RYSCALE-INT-000000748,2019-02-05,Enrolled,9900
RYSCALE-OPP-000000045,DEMO Admission 000000045,RYSCALE-ACC-000000045,RYSCALE-CON-000000045,RYSCALE-CAM-000000045,RYSCALE-INT-000000765,2019-02-06,Application submitted,10900
RYSCALE-OPP-000000046,DEMO Admission 000000046,RYSCALE-ACC-000000046,RYSCALE-CON-000000046,RYSCALE-CAM-000000046,RYSCALE-INT-000000782,2019-02-07,Offer accepted,11900
RYSCALE-OPP-000000047,DEMO Admission 000000047,RYSCALE-ACC-000000047,RYSCALE-CON-000000047,RYSCALE-CAM-000000047,RYSCALE-INT-000000799,2019-02-08,Enquiry,12900
RYSCALE-OPP-000000048,DEMO Admission 000000048,RYSCALE-ACC-000000048,RYSCALE-CON-000000048,RYSCALE-CAM-000000048,RYSCALE-INT-000000816,2019-02-09,Enrolled,13900
RYSCALE-OPP-000000049,DEMO Admission 000000049,RYSCALE-ACC-000000049,RYSCALE-CON-000000049,RYSCALE-CAM-000000049,RYSCALE-INT-000000833,2019-07-10,Application submitted,14900
RYSCALE-OPP-000000050,DEMO Admission 000000050,RYSCALE-ACC-000000050,RYSCALE-CON-000000050,RYSCALE-CAM-000000050,RYSCALE-INT-000000850,2019-07-11,Offer accepted,15900
RYSCALE-OPP-000000051,DEMO Admission 000000051,RYSCALE-ACC-000000051,RYSCALE-CON-000000051,RYSCALE-CAM-000000051,RYSCALE-INT-000000867,2019-07-12,application submited ,16900
RYSCALE-OPP-000000052,DEMO Admission 000000052,RYSCALE-ACC-000000052,RYSCALE-CON-000000052,RYSCALE-CAM-000000052,RYSCALE-INT-000000884,2019-07-13,Enrolled,4900
