RY_External_ID__c,Contact_Key,Intake_Key,Opportunity_Key,Submitted_Date__c,Status__c,Decision_Date__c
RYSCALE-APP-000000001,RYSCALE-CON-000000001,RYSCALE-INT-000000017,RYSCALE-OPP-000000001,2015-01-01,Accepted,2015-01-15
RYSCALE-APP-000000002,RYSCALE-CON-000000002,RYSCALE-INT-000000034,RYSCALE-OPP-000000002,2015-01-01,Accepted,2015-01-15
RYSCALE-APP-000000003,RYSCALE-CON-000000003,RYSCALE-INT-000000051,RYSCALE-OPP-000000003,2015-01-01,Accepted,2015-01-15
RYSCALE-APP-000000004,RYSCALE-CON-000000004,RYSCALE-INT-000000068,RYSCALE-OPP-000000004,2015-01-01,Accepted,2015-01-15
RYSCALE-APP-000000005,RYSCALE-CON-000000005,RYSCALE-INT-000000085,RYSCALE-OPP-000000005,2015-01-01,Accepted,2015-01-15
RYSCALE-APP-000000006,RYSCALE-CON-000000006,RYSCALE-INT-000000102,RYSCALE-OPP-000000006,2015-05-31,Accepted,2015-06-14
RYSCALE-APP-000000007,RYSCALE-CON-000000007,RYSCALE-INT-000000119,RYSCALE-OPP-000000007,2015-05-31,Accepted,2015-06-14
RYSCALE-APP-000000008,RYSCALE-CON-000000008,RYSCALE-INT-000000136,RYSCALE-OPP-000000008,2015-05-31,Accepted,2015-06-14
RYSCALE-APP-000000009,RYSCALE-CON-000000009,RYSCALE-INT-000000153,RYSCALE-OPP-000000009,2015-05-31,Accepted,2015-06-14
RYSCALE-APP-000000010,RYSCALE-CON-000000010,RYSCALE-INT-000000170,RYSCALE-OPP-000000010,2015-05-31,Accepted,2015-06-14
RYSCALE-APP-000000011,RYSCALE-CON-000000011,RYSCALE-INT-000000187,RYSCALE-OPP-000000011,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000012,RYSCALE-CON-000000012,RYSCALE-INT-000000204,RYSCALE-OPP-000000012,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000013,RYSCALE-CON-000000013,RYSCALE-INT-000000221,RYSCALE-OPP-000000013,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000014,RYSCALE-CON-000000014,RYSCALE-INT-000000238,RYSCALE-OPP-000000014,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000015,RYSCALE-CON-000000015,RYSCALE-INT-000000255,RYSCALE-OPP-000000015,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000016,RYSCALE-CON-000000016,RYSCALE-INT-000000272,RYSCALE-OPP-000000016,2016-01-01,Accepted,2016-01-15
RYSCALE-APP-000000017,RYSCALE-CON-000000017,RYSCALE-INT-000000289,RYSCALE-OPP-000000017,2016-05-31,accepted ,2016-06-14
RYSCALE-APP-000000018,RYSCALE-CON-000000018,RYSCALE-INT-000000306,RYSCALE-OPP-000000018,2016-05-31,Accepted,2016-06-14
RYSCALE-APP-000000019,RYSCALE-CON-000000019,RYSCALE-INT-000000323,RYSCALE-OPP-000000019,2016-05-31,Accepted,2016-06-14
RYSCALE-APP-000000020,RYSCALE-CON-000000020,RYSCALE-INT-000000340,RYSCALE-OPP-000000020,2016-05-31,Accepted,2016-06-14
RYSCALE-APP-000000021,RYSCALE-CON-000000021,RYSCALE-INT-000000357,RYSCALE-OPP-000000021,2016-05-31,Accepted,2016-06-14
RYSCALE-APP-000000022,RYSCALE-CON-000000022,RYSCALE-INT-000000374,RYSCALE-OPP-000000022,2017-01-01,Accepted,2017-01-15
RYSCALE-APP-000000023,RYSCALE-CON-000000023,RYSCALE-INT-000000391,RYSCALE-OPP-000000023,2017-01-01,Accepted,2017-01-15
RYSCALE-APP-000000024,RYSCALE-CON-000000024,RYSCALE-INT-000000408,RYSCALE-OPP-000000024,2017-01-01,Accepted,2017-01-15
RYSCALE-APP-000000025,RYSCALE-CON-000000025,RYSCALE-INT-000000425,RYSCALE-OPP-000000025,2017-01-01,Accepted,2017-01-15
RYSCALE-APP-000000026,RYSCALE-CON-000000026,RYSCALE-INT-000000442,RYSCALE-OPP-000000026,2017-01-01,Accepted,2017-01-15
RYSCALE-APP-000000027,RYSCALE-CON-000000027,RYSCALE-INT-000000459,RYSCALE-OPP-000000027,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000028,RYSCALE-CON-000000028,RYSCALE-INT-000000476,RYSCALE-OPP-000000028,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000029,RYSCALE-CON-000000029,RYSCALE-INT-000000493,RYSCALE-OPP-000000029,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000030,RYSCALE-CON-000000030,RYSCALE-INT-000000510,RYSCALE-OPP-000000030,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000031,RYSCALE-CON-000000031,RYSCALE-INT-000000527,RYSCALE-OPP-000000031,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000032,RYSCALE-CON-000000032,RYSCALE-INT-000000544,RYSCALE-OPP-000000032,2017-05-31,Accepted,2017-06-14
RYSCALE-APP-000000033,RYSCALE-CON-000000033,RYSCALE-INT-000000561,RYSCALE-OPP-000000033,2018-01-01,Accepted,2018-01-15
RYSCALE-APP-000000034,RYSCALE-CON-000000034,RYSCALE-INT-000000578,RYSCALE-OPP-000000034,2018-01-01,accepted ,2018-01-15
RYSCALE-APP-000000035,RYSCALE-CON-000000035,RYSCALE-INT-000000595,RYSCALE-OPP-000000035,2018-01-01,Accepted,2018-01-15
RYSCALE-APP-000000036,RYSCALE-CON-000000036,RYSCALE-INT-000000612,RYSCALE-OPP-000000036,2018-01-01,Accepted,2018-01-15
RYSCALE-APP-000000037,RYSCALE-CON-000000037,RYSCALE-INT-000000629,RYSCALE-OPP-000000037,2018-01-01,Accepted,2018-01-15
RYSCALE-APP-000000038,RYSCALE-CON-000000038,RYSCALE-INT-000000646,RYSCALE-OPP-000000038,2018-05-31,Accepted,2018-06-14
RYSCALE-APP-000000039,RYSCALE-CON-000000039,RYSCALE-INT-000000663,RYSCALE-OPP-000000039,2018-05-31,Accepted,2018-06-14
RYSCALE-APP-000000040,RYSCALE-CON-000000040,RYSCALE-INT-000000680,RYSCALE-OPP-000000040,2018-05-31,Accepted,2018-06-14
RYSCALE-APP-000000041,RYSCALE-CON-000000041,RYSCALE-INT-000000697,RYSCALE-OPP-000000041,2018-05-31,Accepted,2018-06-14
RYSCALE-APP-000000042,RYSCALE-CON-000000042,RYSCALE-INT-000000714,RYSCALE-OPP-000000042,2018-05-31,Accepted,2018-06-14
RYSCALE-APP-000000043,RYSCALE-CON-000000043,RYSCALE-INT-000000731,RYSCALE-OPP-000000043,2019-01-01,Accepted,2018-12-17
RYSCALE-APP-000000044,RYSCALE-CON-000000044,RYSCALE-INT-000000748,RYSCALE-OPP-000000044,2019-01-01,Accepted,2019-01-15
RYSCALE-APP-000000045,RYSCALE-CON-000000045,RYSCALE-INT-000000765,RYSCALE-OPP-000000045,2019-01-01,Accepted,2019-01-15
RYSCALE-APP-000000046,RYSCALE-CON-000000046,RYSCALE-INT-000000782,RYSCALE-OPP-000000046,2019-01-01,Accepted,2019-01-15
RYSCALE-APP-000000047,RYSCALE-CON-000000047,RYSCALE-INT-000000799,RYSCALE-OPP-000000047,2019-01-01,Accepted,2019-01-15
RYSCALE-APP-000000048,RYSCALE-CON-000000048,RYSCALE-INT-000000816,RYSCALE-OPP-000000048,2019-01-01,Accepted,2019-01-15
RYSCALE-APP-000000049,RYSCALE-CON-000000049,RYSCALE-INT-000000833,RYSCALE-OPP-000000049,2019-05-31,Accepted,2019-06-14
RYSCALE-APP-000000050,RYSCALE-CON-000000050,RYSCALE-INT-000000850,RYSCALE-OPP-000000050,2019-05-31,Accepted,2019-06-14
RYSCALE-APP-000000051,RYSCALE-CON-000000051,RYSCALE-INT-000000867,RYSCALE-OPP-000000051,2019-05-31,accepted ,2019-06-14
RYSCALE-APP-000000052,RYSCALE-CON-000000052,RYSCALE-INT-000000884,RYSCALE-OPP-000000052,2019-05-31,Accepted,2019-06-14
RYSCALE-APP-000000053,RYSCALE-CON-000000053,RYSCALE-INT-000000901,RYSCALE-OPP-000000053,2019-05-31,Accepted,2019-06-14
RYSCALE-APP-000000054,RYSCALE-CON-000000054,RYSCALE-INT-000000918,RYSCALE-OPP-000000054,2020-01-01,Accepted,2020-01-15
RYSCALE-APP-000000055,RYSCALE-CON-000000055,RYSCALE-INT-000000935,RYSCALE-OPP-000000055,2020-01-01,Accepted,2020-01-15
RYSCALE-APP-000000056,RYSCALE-CON-000000056,RYSCALE-INT-000000952,RYSCALE-OPP-000000056,2020-01-01,Accepted,2020-01-15
RYSCALE-APP-000000057,RYSCALE-CON-000000057,RYSCALE-INT-000000969,RYSCALE-OPP-000000057,2020-01-01,Accepted,2020-01-15
RYSCALE-APP-000000058,RYSCALE-CON-000000058,RYSCALE-INT-000000986,RYSCALE-OPP-000000058,2020-01-01,Accepted,2020-01-15
RYSCALE-APP-000000059,RYSCALE-CON-000000059,RYSCALE-INT-000001003,RYSCALE-OPP-000000059,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000060,RYSCALE-CON-000000060,RYSCALE-INT-000001020,RYSCALE-OPP-000000060,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000061,RYSCALE-CON-000000061,RYSCALE-INT-000001037,RYSCALE-OPP-000000061,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000062,RYSCALE-CON-000000062,RYSCALE-INT-000001054,RYSCALE-OPP-000000062,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000063,RYSCALE-CON-000000063,RYSCALE-INT-000001071,RYSCALE-OPP-000000063,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000064,RYSCALE-CON-000000064,RYSCALE-INT-000001088,RYSCALE-OPP-000000064,2020-05-31,Accepted,2020-06-14
RYSCALE-APP-000000065,RYSCALE-CON-000000065,RYSCALE-INT-000001105,RYSCALE-OPP-000000065,2021-01-01,Accepted,2021-01-15
RYSCALE-APP-000000066,RYSCALE-CON-000000066,RYSCALE-INT-000001122,RYSCALE-OPP-000000066,2021-01-01,Accepted,2021-01-15
RYSCALE-APP-000000067,RYSCALE-CON-000000067,RYSCALE-INT-000001139,RYSCALE-OPP-000000067,2021-01-01,Accepted,2021-01-15
RYSCALE-APP-000000068,RYSCALE-CON-000000068,RYSCALE-INT-000001156,RYSCALE-OPP-000000068,2021-01-01,accepted ,2021-01-15
RYSCALE-APP-000000069,RYSCALE-CON-000000069,RYSCALE-INT-000001173,RYSCALE-OPP-000000069,2021-01-01,Accepted,2021-01-15
RYSCALE-APP-000000070,RYSCALE-CON-000000070,RYSCALE-INT-000001190,RYSCALE-OPP-000000070,2021-05-31,Accepted,2021-06-14
RYSCALE-APP-000000071,RYSCALE-CON-000000071,RYSCALE-INT-000001207,RYSCALE-OPP-000000071,2021-05-31,Accepted,2021-06-14
RYSCALE-APP-000000072,RYSCALE-CON-000000072,RYSCALE-INT-000001224,RYSCALE-OPP-000000072,2021-05-31,Accepted,2021-06-14
RYSCALE-APP-000000073,RYSCALE-CON-000000073,RYSCALE-INT-000001241,RYSCALE-OPP-000000073,2021-05-31,Accepted,2021-06-14
RYSCALE-APP-000000074,RYSCALE-CON-000000074,RYSCALE-INT-000001258,RYSCALE-OPP-000000074,2021-05-31,Accepted,2021-06-14
RYSCALE-APP-000000075,RYSCALE-CON-000000075,RYSCALE-INT-000001275,RYSCALE-OPP-000000075,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000076,RYSCALE-CON-000000076,RYSCALE-INT-000001292,RYSCALE-OPP-000000076,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000077,RYSCALE-CON-000000077,RYSCALE-INT-000001309,RYSCALE-OPP-000000077,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000078,RYSCALE-CON-000000078,RYSCALE-INT-000001326,RYSCALE-OPP-000000078,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000079,RYSCALE-CON-000000079,RYSCALE-INT-000001343,RYSCALE-OPP-000000079,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000080,RYSCALE-CON-000000080,RYSCALE-INT-000001360,RYSCALE-OPP-000000080,2022-01-01,Accepted,2022-01-15
RYSCALE-APP-000000081,RYSCALE-CON-000000081,RYSCALE-INT-000001377,RYSCALE-OPP-000000081,2022-05-31,Accepted,2022-06-14
RYSCALE-APP-000000082,RYSCALE-CON-000000082,RYSCALE-INT-000001394,RYSCALE-OPP-000000082,2022-05-31,Accepted,2022-06-14
RYSCALE-APP-000000083,RYSCALE-CON-000000083,RYSCALE-INT-000001411,RYSCALE-OPP-000000083,2022-05-31,Accepted,2022-06-14
RYSCALE-APP-000000084,RYSCALE-CON-000000084,RYSCALE-INT-000001428,RYSCALE-OPP-000000084,2022-05-31,Accepted,2022-06-14
RYSCALE-APP-000000085,RYSCALE-CON-000000085,RYSCALE-INT-000001445,RYSCALE-OPP-000000085,2022-05-31,accepted ,2022-06-14
RYSCALE-APP-000000086,RYSCALE-CON-000000086,RYSCALE-INT-000001462,RYSCALE-OPP-000000086,2023-01-01,Accepted,2022-12-17
RYSCALE-APP-000000087,RYSCALE-CON-000000087,RYSCALE-INT-000001479,RYSCALE-OPP-000000087,2023-01-01,Accepted,2023-01-15
RYSCALE-APP-000000088,RYSCALE-CON-000000088,RYSCALE-INT-000001496,RYSCALE-OPP-000000088,2023-01-01,Accepted,2023-01-15
RYSCALE-APP-000000089,RYSCALE-CON-000000089,RYSCALE-INT-000001513,RYSCALE-OPP-000000089,2023-01-01,Accepted,2023-01-15
RYSCALE-APP-000000090,RYSCALE-CON-000000090,RYSCALE-INT-000001530,RYSCALE-OPP-000000090,2023-01-01,Accepted,2023-01-15
RYSCALE-APP-000000091,RYSCALE-CON-000000091,RYSCALE-INT-000001547,RYSCALE-OPP-000000091,2023-01-01,Accepted,2023-01-15
RYSCALE-APP-000000092,RYSCALE-CON-000000092,RYSCALE-INT-000001564,RYSCALE-OPP-000000092,2023-05-31,Accepted,2023-06-14
RYSCALE-APP-000000093,RYSCALE-CON-000000093,RYSCALE-INT-000001581,RYSCALE-OPP-000000093,2023-05-31,Accepted,2023-06-14
RYSCALE-APP-000000094,RYSCALE-CON-000000094,RYSCALE-INT-000001598,RYSCALE-OPP-000000094,2023-05-31,Accepted,2023-06-14
RYSCALE-APP-000000095,RYSCALE-CON-000000095,RYSCALE-INT-000001615,RYSCALE-OPP-000000095,2023-05-31,Accepted,2023-06-14
RYSCALE-APP-000000096,RYSCALE-CON-000000096,RYSCALE-INT-000001632,RYSCALE-OPP-000000096,2023-05-31,Accepted,2023-06-14
RYSCALE-APP-000000097,RYSCALE-CON-000000097,RYSCALE-INT-000001649,RYSCALE-OPP-000000097,2024-01-01,Accepted,2024-01-15
RYSCALE-APP-000000098,RYSCALE-CON-000000098,RYSCALE-INT-000001666,RYSCALE-OPP-000000098,2024-01-01,Accepted,2024-01-15
RYSCALE-APP-000000099,RYSCALE-CON-000000099,RYSCALE-INT-000001683,RYSCALE-OPP-000000099,2024-01-01,Accepted,2024-01-15
RYSCALE-APP-000000100,RYSCALE-CON-000000100,RYSCALE-INT-000001700,RYSCALE-OPP-000000100,2024-01-01,Accepted,2024-01-15
