RY_External_ID__c,Student_Key,Application_Key,Enrolled_Date__c,Status__c,Agreed_Fee_ZAR__c
RYSCALE-ENR-000000001,RYSCALE-STU-000000001,RYSCALE-APP-000000001,2015-02-08,Registered,5900
RYSCALE-ENR-000000002,RYSCALE-STU-000000002,RYSCALE-APP-000000002,2015-02-08,Registered,6900
RYSCALE-ENR-000000003,RYSCALE-STU-000000003,RYSCALE-APP-000000003,2015-02-08,Registered,7900
RYSCALE-ENR-000000004,RYSCALE-STU-000000004,RYSCALE-APP-000000004,2015-02-08,Registered,8900
RYSCALE-ENR-000000005,RYSCALE-STU-000000005,RYSCALE-APP-000000005,2015-02-08,Registered,9900
RYSCALE-ENR-000000006,RYSCALE-STU-000000006,RYSCALE-APP-000000006,2015-07-08,Registered,10900
RYSCALE-ENR-000000007,RYSCALE-STU-000000007,RYSCALE-APP-000000007,2015-07-08,Registered,11900
RYSCALE-ENR-000000008,RYSCALE-STU-000000008,RYSCALE-APP-000000008,2015-07-08,Registered,12900
RYSCALE-ENR-000000009,RYSCALE-STU-000000009,RYSCALE-APP-000000009,2015-07-08,Registered,13900
RYSCALE-ENR-000000010,RYSCALE-STU-000000010,RYSCALE-APP-000000010,2015-07-08,Registered,14900
RYSCALE-ENR-000000011,RYSCALE-STU-000000011,RYSCALE-APP-000000011,2016-02-08,Registered,15900
RYSCALE-ENR-000000012,RYSCALE-STU-000000012,RYSCALE-APP-000000012,2016-02-08,Registered,16900
RYSCALE-ENR-000000013,RYSCALE-STU-000000013,RYSCALE-APP-000000013,2016-02-08,Registered,4900
RYSCALE-ENR-000000014,RYSCALE-STU-000000014,RYSCALE-APP-000000014,2016-02-08,Registered,5900
RYSCALE-ENR-000000015,RYSCALE-STU-000000015,RYSCALE-APP-000000015,2016-02-08,Registered,6900
RYSCALE-ENR-000000016,RYSCALE-STU-000000016,RYSCALE-APP-000000016,2016-02-08,Registered,7900
RYSCALE-ENR-000000017,RYSCALE-STU-000000017,RYSCALE-APP-000000017,2016-07-08,REGISTRED ,8900
RYSCALE-ENR-000000018,RYSCALE-STU-000000018,RYSCALE-APP-000000018,2016-07-08,Registered,9900
RYSCALE-ENR-000000019,RYSCALE-STU-000000019,RYSCALE-APP-000000019,2016-07-08,Registered,10900
RYSCALE-ENR-000000020,RYSCALE-STU-000000020,RYSCALE-APP-000000020,2016-07-08,Registered,11900
RYSCALE-ENR-000000021,RYSCALE-STU-000000021,RYSCALE-APP-000000021,2016-07-08,Registered,12900
RYSCALE-ENR-000000022,RYSCALE-STU-000000022,RYSCALE-APP-000000022,2017-02-08,Registered,13900
RYSCALE-ENR-000000023,RYSCALE-STU-000000023,RYSCALE-APP-000000023,2017-02-08,Registered,14900
RYSCALE-ENR-000000024,RYSCALE-STU-000000024,RYSCALE-APP-000000024,2017-02-08,Registered,15900
RYSCALE-ENR-000000025,RYSCALE-STU-000000025,RYSCALE-APP-000000025,2017-02-08,Registered,16900
RYSCALE-ENR-000000026,RYSCALE-STU-000000026,RYSCALE-APP-000000026,2017-02-08,Registered,4900
RYSCALE-ENR-000000027,RYSCALE-STU-000000027,RYSCALE-APP-000000027,2017-07-08,Registered,5900
RYSCALE-ENR-000000028,RYSCALE-STU-000000028,RYSCALE-APP-000000028,2017-07-08,Registered,6900
RYSCALE-ENR-000000029,RYSCALE-STU-000000029,RYSCALE-APP-000000029,2017-07-08,Registered,7900
RYSCALE-ENR-000000030,RYSCALE-STU-000000030,RYSCALE-APP-000000030,2017-07-08,Registered,8900
RYSCALE-ENR-000000031,RYSCALE-STU-000000031,RYSCALE-APP-000000031,2017-07-08,Registered,9900
RYSCALE-ENR-000000032,RYSCALE-STU-000000032,RYSCALE-APP-000000032,2017-07-08,Registered,10900
RYSCALE-ENR-000000033,RYSCALE-STU-000000033,RYSCALE-APP-000000033,2018-02-08,Registered,11900
RYSCALE-ENR-000000034,RYSCALE-STU-000000034,RYSCALE-APP-000000034,2018-02-08,REGISTRED ,12900
RYSCALE-ENR-000000035,RYSCALE-STU-000000035,RYSCALE-APP-000000035,2018-02-08,Registered,13900
RYSCALE-ENR-000000036,RYSCALE-STU-000000036,RYSCALE-APP-000000036,2018-02-08,Registered,14900
RYSCALE-ENR-000000037,RYSCALE-STU-000000037,RYSCALE-APP-000000037,2018-02-08,Registered,159000
RYSCALE-ENR-000000038,RYSCALE-STU-000000038,RYSCALE-APP-000000038,2018-07-08,Registered,16900
RYSCALE-ENR-000000039,RYSCALE-STU-000000039,RYSCALE-APP-000000039,2018-07-08,Registered,4900
RYSCALE-ENR-000000040,RYSCALE-STU-000000040,RYSCALE-APP-000000040,2018-07-08,Registered,5900
RYSCALE-ENR-000000041,RYSCALE-STU-000000041,RYSCALE-APP-000000041,2018-07-08,Registered,6900
RYSCALE-ENR-000000042,RYSCALE-STU-000000042,RYSCALE-APP-000000042,2018-07-08,Registered,7900
RYSCALE-ENR-000000043,RYSCALE-STU-000000043,RYSCALE-APP-000000043,2019-02-08,Registered,8900
RYSCALE-ENR-000000044,RYSCALE-STU-000000044,RYSCALE-APP-000000044,2019-02-08,Registered,9900
RYSCALE-ENR-000000045,RYSCALE-STU-000000045,RYSCALE-APP-000000045,2019-02-08,Registered,10900
