RY_External_ID__c,Offering_Key,Start_Date__c
RYSCALE-INT-000000001,RY-DIRTY-OFFER-001,2015-02-15
RYSCALE-INT-000000002,RY-DIRTY-OFFER-002,2015-02-15
RYSCALE-INT-000000003,RY-DIRTY-OFFER-003,2015-02-15
RYSCALE-INT-000000004,RY-DIRTY-OFFER-004,2015-02-15
RYSCALE-INT-000000005,RY-DIRTY-OFFER-005,2015-02-15
RYSCALE-INT-000000006,RY-DIRTY-OFFER-006,2015-02-15
RYSCALE-INT-000000007,RY-DIRTY-OFFER-007,2015-02-15
RYSCALE-INT-000000008,RY-DIRTY-OFFER-008,2015-02-15
RYSCALE-INT-000000009,RY-DIRTY-OFFER-009,2015-02-15
RYSCALE-INT-000000010,RY-DIRTY-OFFER-010,2015-02-15
RYSCALE-INT-000000011,RY-DIRTY-OFFER-011,2015-02-15
RYSCALE-INT-000000012,RY-DIRTY-OFFER-012,2015-02-15
RYSCALE-INT-000000013,RY-DIRTY-OFFER-013,2015-02-15
RYSCALE-INT-000000014,RY-DIRTY-OFFER-014,2015-02-15
RYSCALE-INT-000000015,RY-DIRTY-OFFER-015,2015-02-15
RYSCALE-INT-000000016,RY-DIRTY-OFFER-016,2015-02-15
RYSCALE-INT-000000017,RY-DIRTY-OFFER-017,2015-02-15
RYSCALE-INT-000000018,RY-DIRTY-OFFER-018,2015-02-15
RYSCALE-INT-000000019,RY-DIRTY-OFFER-019,2015-02-15
RYSCALE-INT-000000020,RY-DIRTY-OFFER-020,2015-02-15
RYSCALE-INT-000000021,RY-DIRTY-OFFER-021,2015-02-15
RYSCALE-INT-000000022,RY-DIRTY-OFFER-022,2015-02-15
RYSCALE-INT-000000023,RY-DIRTY-OFFER-023,2015-02-15
RYSCALE-INT-000000024,RY-DIRTY-OFFER-024,2015-02-15
RYSCALE-INT-000000025,RY-DIRTY-OFFER-025,2015-02-15
RYSCALE-INT-000000026,RY-DIRTY-OFFER-026,2015-02-15
RYSCALE-INT-000000027,RY-DIRTY-OFFER-027,2015-02-15
RYSCALE-INT-000000028,RY-DIRTY-OFFER-028,2015-02-15
RYSCALE-INT-000000029,RY-DIRTY-OFFER-029,2015-02-15
RYSCALE-INT-000000030,RY-DIRTY-OFFER-030,2015-02-15
RYSCALE-INT-000000031,RY-DIRTY-OFFER-031,2015-02-15
RYSCALE-INT-000000032,RY-DIRTY-OFFER-032,2015-02-15
RYSCALE-INT-000000033,RY-DIRTY-OFFER-033,2015-02-15
RYSCALE-INT-000000034,RY-DIRTY-OFFER-034,2015-02-15
RYSCALE-INT-000000035,RY-DIRTY-OFFER-035,2015-02-15
RYSCALE-INT-000000036,RY-DIRTY-OFFER-036,2015-02-15
RYSCALE-INT-000000037,RY-DIRTY-OFFER-037,2015-02-15
RYSCALE-INT-000000038,RY-DIRTY-OFFER-038,2015-02-15
RYSCALE-INT-000000039,RY-DIRTY-OFFER-039,2015-02-15
RYSCALE-INT-000000040,RY-DIRTY-OFFER-040,2015-02-15
RYSCALE-INT-000000041,RY-DIRTY-OFFER-041,2015-02-15
RYSCALE-INT-000000042,RY-DIRTY-OFFER-042,2015-02-15
RYSCALE-INT-000000043,RY-DIRTY-OFFER-043,2015-02-15
RYSCALE-INT-000000044,RY-DIRTY-OFFER-044,2015-02-15
RYSCALE-INT-000000045,RY-DIRTY-OFFER-045,2015-02-15
RYSCALE-INT-000000046,RY-DIRTY-OFFER-046,2015-02-15
RYSCALE-INT-000000047,RY-DIRTY-OFFER-047,2015-02-15
RYSCALE-INT-000000048,RY-DIRTY-OFFER-048,2015-02-15
RYSCALE-INT-000000049,RY-DIRTY-OFFER-049,2015-02-15
RYSCALE-INT-000000050,RY-DIRTY-OFFER-050,2015-02-15
RYSCALE-INT-000000051,RY-DIRTY-OFFER-051,2015-02-15
RYSCALE-INT-000000052,RY-DIRTY-OFFER-052,2015-02-15
RYSCALE-INT-000000053,RY-DIRTY-OFFER-053,2015-02-15
RYSCALE-INT-000000054,RY-DIRTY-OFFER-054,2015-02-15
RYSCALE-INT-000000055,RY-DIRTY-OFFER-055,2015-02-15
RYSCALE-INT-000000056,RY-DIRTY-OFFER-056,2015-02-15
RYSCALE-INT-000000057,RY-DIRTY-OFFER-057,2015-02-15
RYSCALE-INT-000000058,RY-DIRTY-OFFER-058,2015-02-15
RYSCALE-INT-000000059,RY-DIRTY-OFFER-059,2015-02-15
RYSCALE-INT-000000060,RY-DIRTY-OFFER-060,2015-02-15
RYSCALE-INT-000000061,RY-DIRTY-OFFER-061,2015-02-15
RYSCALE-INT-000000062,RY-DIRTY-OFFER-062,2015-02-15
RYSCALE-INT-000000063,RY-DIRTY-OFFER-063,2015-02-15
RYSCALE-INT-000000064,RY-DIRTY-OFFER-064,2015-02-15
RYSCALE-INT-000000065,RY-DIRTY-OFFER-065,2015-02-15
RYSCALE-INT-000000066,RY-DIRTY-OFFER-066,2015-02-15
RYSCALE-INT-000000067,RY-DIRTY-OFFER-067,2015-02-15
RYSCALE-INT-000000068,RY-DIRTY-OFFER-068,2015-02-15
RYSCALE-INT-000000069,RY-DIRTY-OFFER-069,2015-02-15
RYSCALE-INT-000000070,RY-DIRTY-OFFER-070,2015-02-15
RYSCALE-INT-000000071,RY-DIRTY-OFFER-071,2015-02-15
RYSCALE-INT-000000072,RY-DIRTY-OFFER-072,2015-02-15
RYSCALE-INT-000000073,RY-DIRTY-OFFER-073,2015-02-15
RYSCALE-INT-000000074,RY-DIRTY-OFFER-074,2015-02-15
RYSCALE-INT-000000075,RY-DIRTY-OFFER-075,2015-02-15
RYSCALE-INT-000000076,RY-DIRTY-OFFER-076,2015-02-15
RYSCALE-INT-000000077,RY-DIRTY-OFFER-077,2015-02-15
RYSCALE-INT-000000078,RY-DIRTY-OFFER-078,2015-02-15
RYSCALE-INT-000000079,RY-DIRTY-OFFER-079,2015-02-15
RYSCALE-INT-000000080,RY-DIRTY-OFFER-080,2015-02-15
RYSCALE-INT-000000081,RY-DIRTY-OFFER-081,2015-02-15
RYSCALE-INT-000000082,RY-DIRTY-OFFER-082,2015-02-15
RYSCALE-INT-000000083,RY-DIRTY-OFFER-083,2015-02-15
RYSCALE-INT-000000084,RY-DIRTY-OFFER-084,2015-02-15
RYSCALE-INT-000000085,RY-DIRTY-OFFER-085,2015-02-15
RYSCALE-INT-000000086,RY-DIRTY-OFFER-086,2015-02-15
RYSCALE-INT-000000087,RY-DIRTY-OFFER-087,2015-02-15
RYSCALE-INT-000000088,RY-DIRTY-OFFER-088,2015-02-15
RYSCALE-INT-000000089,RY-DIRTY-OFFER-089,2015-02-15
RYSCALE-INT-000000090,RY-DIRTY-OFFER-001-DUP01,2015-02-15
RYSCALE-INT-000000091,RY-DIRTY-OFFER-021-DUP02,2015-02-15
RYSCALE-INT-000000092,RY-DIRTY-OFFER-001,2015-07-15
RYSCALE-INT-000000093,RY-DIRTY-OFFER-002,2015-07-15
RYSCALE-INT-000000094,RY-DIRTY-OFFER-003,2015-07-15
RYSCALE-INT-000000095,RY-DIRTY-OFFER-004,2015-07-15
RYSCALE-INT-000000096,RY-DIRTY-OFFER-005,2015-07-15
RYSCALE-INT-000000097,RY-DIRTY-OFFER-006,2015-07-15
RYSCALE-INT-000000098,RY-DIRTY-OFFER-007,2015-07-15
RYSCALE-INT-000000099,RY-DIRTY-OFFER-008,2015-07-15
RYSCALE-INT-000000100,RY-DIRTY-OFFER-009,2015-07-15
