RY_External_ID__c,Contact_Key,Lead_Key,Offering_Key,Enquiry_Date__c,Channel__c,Status__c
RYSCALE-ENQ-000000001,RYSCALE-CON-000000011,,RY-DIRTY-OFFER-001,2015-01-02,Paid social,New
RYSCALE-ENQ-000000002,RYSCALE-CON-000000022,,RY-DIRTY-OFFER-002,2015-01-03,Email,New
RYSCALE-ENQ-000000003,,RYSCALE-LEAD-000000021,RY-DIRTY-OFFER-003,2015-01-04,WhatsApp,Application received
RYSCALE-ENQ-000000004,,RYSCALE-LEAD-000000028,RY-DIRTY-OFFER-004,2015-01-05,Website,New
RYSCALE-ENQ-000000005,RYSCALE-CON-000000055,,RY-DIRTY-OFFER-005,2015-01-06,Paid social,New
RYSCALE-ENQ-000000006,RYSCALE-CON-000000066,,RY-DIRTY-OFFER-006,2015-01-07,Email,Application received
RYSCALE-ENQ-000000007,RYSCALE-CON-000000077,,RY-DIRTY-OFFER-007,2015-01-08,WhatsApp,New
RYSCALE-ENQ-000000008,,RYSCALE-LEAD-000000056,RY-DIRTY-OFFER-008,2015-01-09,Website,New
RYSCALE-ENQ-000000009,,RYSCALE-LEAD-000000063,RY-DIRTY-OFFER-009,2015-01-10,Paid social,Application received
RYSCALE-ENQ-000000010,RYSCALE-CON-000000110,,RY-DIRTY-OFFER-010,2015-01-11,Email,New
RYSCALE-ENQ-000000011,RYSCALE-CON-000000121,,RY-DIRTY-OFFER-011,2015-01-12,WhatsApp,New
RYSCALE-ENQ-000000012,RYSCALE-CON-000000132,,RY-DIRTY-OFFER-012,2015-01-13,Website,Application received
RYSCALE-ENQ-000000013,,RYSCALE-LEAD-000000091,RY-DIRTY-OFFER-013,2015-01-14,Paid social,New
RYSCALE-ENQ-000000014,,RYSCALE-LEAD-000000098,RY-DIRTY-OFFER-014,2015-01-15,Email,New
RYSCALE-ENQ-000000015,RYSCALE-CON-000000165,,RY-DIRTY-OFFER-015,2015-01-16,WhatsApp,Application received
RYSCALE-ENQ-000000016,RYSCALE-CON-000000176,,RY-DIRTY-OFFER-016,2015-01-17,Website,New
RYSCALE-ENQ-000000017,RYSCALE-CON-000000187,,RY-DIRTY-OFFER-017,2015-01-18,web form ,New
RYSCALE-ENQ-000000018,,RYSCALE-LEAD-000000126,RY-DIRTY-OFFER-018,2015-01-19,Email,Application received
RYSCALE-ENQ-000000019,,RYSCALE-LEAD-000000133,RY-DIRTY-OFFER-019,2015-01-20,WhatsApp,new 
RYSCALE-ENQ-000000020,RYSCALE-CON-000000220,,RY-DIRTY-OFFER-020,2015-01-21,Website,New
RYSCALE-ENQ-000000021,RYSCALE-CON-000000231,,RY-DIRTY-OFFER-021,2015-01-22,Paid social,Application received
RYSCALE-ENQ-000000022,RYSCALE-CON-000000242,,RY-DIRTY-OFFER-022,2015-01-23,Email,New
RYSCALE-ENQ-000000023,,RYSCALE-LEAD-000000161,RY-DIRTY-OFFER-023,2015-01-24,WhatsApp,New
RYSCALE-ENQ-000000024,,RYSCALE-LEAD-000000168,RY-DIRTY-OFFER-024,2015-01-25,Website,Application received
RYSCALE-ENQ-000000025,RYSCALE-CON-000000275,,RY-DIRTY-OFFER-025,2015-01-26,Paid social,New
RYSCALE-ENQ-000000026,RYSCALE-CON-000000286,,RY-DIRTY-OFFER-026,2015-01-27,Email,New
RYSCALE-ENQ-000000027,RYSCALE-CON-000000297,,RY-DIRTY-OFFER-027,2015-01-28,WhatsApp,Application received
RYSCALE-ENQ-000000028,,RYSCALE-LEAD-000000196,RY-DIRTY-OFFER-028,2015-01-29,Website,New
RYSCALE-ENQ-000000029,,RYSCALE-LEAD-000000203,RY-DIRTY-OFFER-029,2015-01-30,Paid social,New
RYSCALE-ENQ-000000030,RYSCALE-CON-000000330,,RY-DIRTY-OFFER-030,2015-01-31,Email,Application received
RYSCALE-ENQ-000000031,RYSCALE-CON-000000341,,RY-DIRTY-OFFER-031,2015-02-01,WhatsApp,New
RYSCALE-ENQ-000000032,RYSCALE-CON-000000352,,RY-DIRTY-OFFER-032,2015-02-02,Website,New
RYSCALE-ENQ-000000033,,RYSCALE-LEAD-000000231,RY-DIRTY-OFFER-033,2015-02-03,Paid social,Application received
RYSCALE-ENQ-000000034,,RYSCALE-LEAD-000000238,RY-DIRTY-OFFER-034,2015-02-04,web form ,New
RYSCALE-ENQ-000000035,RYSCALE-CON-000000385,,RY-DIRTY-OFFER-035,2015-02-05,WhatsApp,New
RYSCALE-ENQ-000000036,RYSCALE-CON-000000396,,RY-DIRTY-OFFER-036,2015-02-06,Website,Application received
RYSCALE-ENQ-000000037,RYSCALE-CON-000000407,,RY-DIRTY-OFFER-037,2015-02-07,Paid social,New
RYSCALE-ENQ-000000038,,RYSCALE-LEAD-000000266,RY-DIRTY-OFFER-038,2015-02-08,Email,new 
RYSCALE-ENQ-000000039,,RYSCALE-LEAD-000000273,RY-DIRTY-OFFER-039,2015-02-09,WhatsApp,Application received
RYSCALE-ENQ-000000040,RYSCALE-CON-000000440,,RY-DIRTY-OFFER-040,2015-02-10,Website,New
RYSCALE-ENQ-000000041,RYSCALE-CON-000000451,,RY-DIRTY-OFFER-041,2015-02-11,Paid social,New
RYSCALE-ENQ-000000042,RYSCALE-CON-000000462,,RY-DIRTY-OFFER-042,2015-02-12,Email,Application received
RYSCALE-ENQ-000000043,,RYSCALE-LEAD-000000301,RY-DIRTY-OFFER-043,2015-02-13,WhatsApp,New
RYSCALE-ENQ-000000044,,RYSCALE-LEAD-000000308,RY-DIRTY-OFFER-044,2015-02-14,Website,New
RYSCALE-ENQ-000000045,RYSCALE-CON-000000495,,RY-DIRTY-OFFER-045,2015-02-15,Paid social,Application received
RYSCALE-ENQ-000000046,RYSCALE-CON-000000506,,RY-DIRTY-OFFER-046,2015-02-16,Email,New
RYSCALE-ENQ-000000047,RYSCALE-CON-000000517,,RY-DIRTY-OFFER-047,2015-02-17,WhatsApp,New
RYSCALE-ENQ-000000048,,RYSCALE-LEAD-000000336,RY-DIRTY-OFFER-048,2015-02-18,Website,Application received
RYSCALE-ENQ-000000049,,RYSCALE-LEAD-000000343,RY-DIRTY-OFFER-049,2015-02-19,Paid social,New
RYSCALE-ENQ-000000050,RYSCALE-CON-000000550,,RY-DIRTY-OFFER-050,2015-02-20,Email,New
RYSCALE-ENQ-000000051,RYSCALE-CON-000000561,,RY-DIRTY-OFFER-051,2015-02-21,web form ,Application received
RYSCALE-ENQ-000000052,RYSCALE-CON-000000572,,RY-DIRTY-OFFER-052,2015-02-22,Website,New
RYSCALE-ENQ-000000053,,RYSCALE-LEAD-000000371,RY-DIRTY-OFFER-053,2015-02-23,Paid social,New
RYSCALE-ENQ-000000054,,RYSCALE-LEAD-000000378,RY-DIRTY-OFFER-054,2015-02-24,Email,Application received
RYSCALE-ENQ-000000055,RYSCALE-CON-000000605,,RY-DIRTY-OFFER-055,2015-02-25,WhatsApp,New
RYSCALE-ENQ-000000056,RYSCALE-CON-000000616,,RY-DIRTY-OFFER-056,2015-02-26,Website,New
RYSCALE-ENQ-000000057,RYSCALE-CON-000000627,,RY-DIRTY-OFFER-057,2015-02-27,Paid social,new 
RYSCALE-ENQ-000000058,,RYSCALE-LEAD-000000406,RY-DIRTY-OFFER-058,2015-02-28,Email,New
RYSCALE-ENQ-000000059,,RYSCALE-LEAD-000000413,RY-DIRTY-OFFER-059,2015-03-01,WhatsApp,New
RYSCALE-ENQ-000000060,RYSCALE-CON-000000660,,RY-DIRTY-OFFER-060,2015-03-02,Website,Application received
RYSCALE-ENQ-000000061,RYSCALE-CON-000000671,,RY-DIRTY-OFFER-061,2015-03-03,Paid social,New
RYSCALE-ENQ-000000062,RYSCALE-CON-000000682,,RY-DIRTY-OFFER-062,2015-03-04,Email,New
RYSCALE-ENQ-000000063,,RYSCALE-LEAD-000000441,RY-DIRTY-OFFER-063,2015-03-05,WhatsApp,Application received
RYSCALE-ENQ-000000064,,RYSCALE-LEAD-000000448,RY-DIRTY-OFFER-064,2015-03-06,Website,New
RYSCALE-ENQ-000000065,RYSCALE-CON-000000715,,RY-DIRTY-OFFER-065,2015-03-07,Paid social,New
RYSCALE-ENQ-000000066,RYSCALE-CON-000000726,,RY-DIRTY-OFFER-066,2015-03-08,Email,Application received
RYSCALE-ENQ-000000067,RYSCALE-CON-000000737,,RY-DIRTY-OFFER-067,2015-03-09,WhatsApp,New
RYSCALE-ENQ-000000068,,RYSCALE-LEAD-000000476,RY-DIRTY-OFFER-068,2015-03-10,web form ,New
RYSCALE-ENQ-000000069,,RYSCALE-LEAD-000000483,RY-DIRTY-OFFER-069,2015-03-11,Paid social,Application received
RYSCALE-ENQ-000000070,RYSCALE-CON-000000770,,RY-DIRTY-OFFER-070,2015-03-12,Email,New
RYSCALE-ENQ-000000071,RYSCALE-CON-000000781,,RY-DIRTY-OFFER-071,2015-03-13,WhatsApp,New
RYSCALE-ENQ-000000072,RYSCALE-CON-000000792,,RY-DIRTY-OFFER-072,2015-03-14,Website,Application received
RYSCALE-ENQ-000000073,,RYSCALE-LEAD-000000511,RY-DIRTY-OFFER-073,2015-03-15,Paid social,New
