RY_External_ID__c,Programme_Key,Title__c,Catalogue_Section__c,Delivery_Mode__c,Study_Pace__c,Duration_Value__c,Duration_Unit__c,Advertised_Fee_ZAR__c,Price_Status__c,Source_URL__c,Source_Refs__c,Observed_Date__c,Notes__c
RY-DIRTY-OFFER-001,RY-DIRTY-PROG-001,  ADVANCED DIPLOMA IN COPYWRITING  ,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-002,RY-DIRTY-PROG-002,Bachelor of Arts Honours in Visual Communication Design,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-003,RY-DIRTY-PROG-003,"Higher Occupational Certificate: Advertiser, Specialising in Digital Marketing",On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A01,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. 
RY-DIRTY-OFFER-004,RY-DIRTY-PROG-004,Bachelor of Arts in Visual Communication,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-005,RY-DIRTY-PROG-005,Bachelor of Business Administration in Marketing and Brand Management,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-006,RY-DIRTY-PROG-006,  BACHELOR OF COMMERCE IN MARKETING  ,On-campus,On-campus,Not stated,3,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A02,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-007,RY-DIRTY-PROG-007,Advanced Diploma in User Centered Design,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-008,RY-DIRTY-PROG-008,Postgraduate Diploma: Creative Leadership,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
RY-DIRTY-OFFER-009,RY-DIRTY-PROG-009,Higher Certificate in Business Management,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,A03,2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. 
RY-DIRTY-OFFER-010,RY-DIRTY-PROG-010,Higher Certificate in Creating Digital Content,On-campus,On-campus,Not stated,1,Years,,Enquire,https://www.redandyellow.co.za/on-campus,"A03,A04",2026-09-08,SYNTHETIC DIRTY-DATA EXERCISE. Values may have injected defects; source screenshots are unchanged. No visible start date; no intake fabricated.
