RY_External_ID__c,Enrolment_Key,Week_Start__c,Attendance_Pct__c,Assessment_Average_Pct__c,Overdue_Assignments__c,Risk_Band__c
RYSCALE-PRG-000000001,RYSCALE-ENR-000000001,2015-02-09,47,41,1,High
RYSCALE-PRG-000000002,RYSCALE-ENR-000000001,2015-02-16,54,52,2,High
RYSCALE-PRG-000000003,RYSCALE-ENR-000000001,2015-02-23,61,63,3,Low
RYSCALE-PRG-000000004,RYSCALE-ENR-000000001,2015-03-02,68,74,4,Low
RYSCALE-PRG-000000005,RYSCALE-ENR-000000001,2015-03-09,75,85,0,Low
RYSCALE-PRG-000000006,RYSCALE-ENR-000000001,2015-03-16,82,30,1,High
RYSCALE-PRG-000000007,RYSCALE-ENR-000000001,2015-03-23,89,41,2,High
RYSCALE-PRG-000000008,RYSCALE-ENR-000000001,2015-03-30,96,52,3,Low
RYSCALE-PRG-000000009,RYSCALE-ENR-000000001,2015-04-06,42,63,4,High
RYSCALE-PRG-000000010,RYSCALE-ENR-000000001,2015-04-13,49,74,0,High
RYSCALE-PRG-000000011,RYSCALE-ENR-000000002,2015-02-09,56,85,1,High
RYSCALE-PRG-000000012,RYSCALE-ENR-000000002,2015-02-16,63,30,2,High
RYSCALE-PRG-000000013,RYSCALE-ENR-000000002,2015-02-23,70,41,3,High
RYSCALE-PRG-000000014,RYSCALE-ENR-000000002,2015-03-02,77,52,4,Low
RYSCALE-PRG-000000015,RYSCALE-ENR-000000002,2015-03-09,84,63,0,Low
RYSCALE-PRG-000000016,RYSCALE-ENR-000000002,2015-03-16,91,74,1,Low
RYSCALE-PRG-000000017,RYSCALE-ENR-000000002,2015-03-23,98,85,2,Low
RYSCALE-PRG-000000018,RYSCALE-ENR-000000002,2015-03-30,44,30,3,High
RYSCALE-PRG-000000019,RYSCALE-ENR-000000002,2015-04-06,51,41,4,High
RYSCALE-PRG-000000020,RYSCALE-ENR-000000002,2015-04-13,58,52,0,High
RYSCALE-PRG-000000021,RYSCALE-ENR-000000003,2015-02-09,65,63,1,Low
RYSCALE-PRG-000000022,RYSCALE-ENR-000000003,2015-02-16,72,74,2,Low
RYSCALE-PRG-000000023,RYSCALE-ENR-000000003,2015-02-23,79,85,3,Low
RYSCALE-PRG-000000024,RYSCALE-ENR-000000003,2015-03-02,86,30,4,High
RYSCALE-PRG-000000025,RYSCALE-ENR-000000003,2015-03-09,93,41,0,High
RYSCALE-PRG-000000026,RYSCALE-ENR-000000003,2015-03-16,100,52,1,Low
RYSCALE-PRG-000000027,RYSCALE-ENR-000000003,2015-03-23,46,63,2,High
RYSCALE-PRG-000000028,RYSCALE-ENR-000000003,2015-03-30,53,74,3,High
RYSCALE-PRG-000000029,RYSCALE-ENR-000000003,2015-04-06,60,85,4,High
RYSCALE-PRG-000000030,RYSCALE-ENR-000000003,2015-04-13,67,30,0,High
RYSCALE-PRG-000000031,RYSCALE-ENR-000000004,2015-02-09,74,0,1,High
RYSCALE-PRG-000000032,RYSCALE-ENR-000000004,2015-02-16,81,52,2,Low
RYSCALE-PRG-000000033,RYSCALE-ENR-000000004,2015-02-23,88,63,3,Low
RYSCALE-PRG-000000034,RYSCALE-ENR-000000004,2015-03-02,95,74,4,Low
RYSCALE-PRG-000000035,RYSCALE-ENR-000000004,2015-03-09,41,85,0,High
RYSCALE-PRG-000000036,RYSCALE-ENR-000000004,2015-03-16,48,30,1,High
RYSCALE-PRG-000000037,RYSCALE-ENR-000000004,2015-03-23,55,41,2,High
RYSCALE-PRG-000000038,RYSCALE-ENR-000000004,2015-03-30,62,52,3,Low
RYSCALE-PRG-000000039,RYSCALE-ENR-000000004,2015-04-06,69,63,4,Low
RYSCALE-PRG-000000040,RYSCALE-ENR-000000004,2015-04-13,76,74,0,Low
RYSCALE-PRG-000000041,RYSCALE-ENR-000000005,2015-02-09,83,85,1,Low
RYSCALE-PRG-000000042,RYSCALE-ENR-000000005,2015-02-16,90,30,2,High
RYSCALE-PRG-000000043,RYSCALE-ENR-000000005,2015-02-23,97,41,3,High
RYSCALE-PRG-000000044,RYSCALE-ENR-000000005,2015-03-02,43,52,4,High
RYSCALE-PRG-000000045,RYSCALE-ENR-000000005,2015-03-09,50,63,0,High
RYSCALE-PRG-000000046,RYSCALE-ENR-000000005,2015-03-16,57,74,1,High
RYSCALE-PRG-000000047,RYSCALE-ENR-000000005,2015-03-23,64,85,2,Low
RYSCALE-PRG-000000048,RYSCALE-ENR-000000005,2015-03-30,71,30,3,High
RYSCALE-PRG-000000049,RYSCALE-ENR-000000005,2015-04-06,78,41,4,High
RYSCALE-PRG-000000050,RYSCALE-ENR-000000005,2015-04-13,85,52,0,Low
RYSCALE-PRG-000000051,RYSCALE-ENR-000000006,2015-07-13,92,63,1,Low
RYSCALE-PRG-000000052,RYSCALE-ENR-000000006,2015-07-20,99,74,2,Low
RYSCALE-PRG-000000053,RYSCALE-ENR-000000006,2015-07-27,45,85,3,High
RYSCALE-PRG-000000054,RYSCALE-ENR-000000006,2015-08-03,52,30,4,High
RYSCALE-PRG-000000055,RYSCALE-ENR-000000006,2015-08-10,59,41,0,High
RYSCALE-PRG-000000056,RYSCALE-ENR-000000006,2015-08-17,66,52,1,Low
RYSCALE-PRG-000000057,RYSCALE-ENR-000000006,2015-08-24,73,63,2,Low
RYSCALE-PRG-000000058,RYSCALE-ENR-000000006,2015-08-31,80,74,3,High
RYSCALE-PRG-000000059,RYSCALE-ENR-000000006,2015-09-07,87,85,4,Low
RYSCALE-PRG-000000060,RYSCALE-ENR-000000006,2015-09-14,94,30,0,High
RYSCALE-PRG-000000061,RYSCALE-ENR-000000007,2015-07-13,40,41,1,High
RYSCALE-PRG-000000062,RYSCALE-ENR-000000007,2015-07-20,47,0,2,High
RYSCALE-PRG-000000063,RYSCALE-ENR-000000007,2015-07-27,54,63,3,High
RYSCALE-PRG-000000064,RYSCALE-ENR-000000007,2015-08-03,61,74,4,Low
RYSCALE-PRG-000000065,RYSCALE-ENR-000000007,2015-08-10,68,85,0,Low
RYSCALE-PRG-000000066,RYSCALE-ENR-000000007,2015-08-17,75,30,1,High
RYSCALE-PRG-000000067,RYSCALE-ENR-000000007,2015-08-24,82,41,2,High
RYSCALE-PRG-000000068,RYSCALE-ENR-000000007,2015-08-31,89,52,3,Low
RYSCALE-PRG-000000069,RYSCALE-ENR-000000007,2015-09-07,96,63,4,Low
RYSCALE-PRG-000000070,RYSCALE-ENR-000000007,2015-09-14,42,74,0,High
RYSCALE-PRG-000000071,RYSCALE-ENR-000000008,2015-07-13,49,85,1,High
RYSCALE-PRG-000000072,RYSCALE-ENR-000000008,2015-07-20,56,30,2,High
RYSCALE-PRG-000000073,RYSCALE-ENR-000000008,2015-07-27,63,41,3,High
RYSCALE-PRG-000000074,RYSCALE-ENR-000000008,2015-08-03,70,52,4,Low
RYSCALE-PRG-000000075,RYSCALE-ENR-000000008,2015-08-10,77,63,0,Low
RYSCALE-PRG-000000076,RYSCALE-ENR-000000008,2015-08-17,84,74,1,Low
RYSCALE-PRG-000000077,RYSCALE-ENR-000000008,2015-08-24,91,85,2,Low
