RY_External_ID__c,Contact_Key,Student_Number__c
RYSCALE-STU-000000001,RYSCALE-CON-000000001,DEMO-S000000001
RYSCALE-STU-000000002,RYSCALE-CON-000000002,DEMO-S000000002
RYSCALE-STU-000000003,RYSCALE-CON-000000003,DEMO-S000000003
RYSCALE-STU-000000004,RYSCALE-CON-000000004,DEMO-S000000004
RYSCALE-STU-000000005,RYSCALE-CON-000000005,DEMO-S000000005
RYSCALE-STU-000000006,RYSCALE-CON-000000006,DEMO-S000000006
RYSCALE-STU-000000007,RYSCALE-CON-000000007,DEMO-S000000007
RYSCALE-STU-000000008,RYSCALE-CON-000000008,DEMO-S000000008
RYSCALE-STU-000000009,RYSCALE-CON-000000009,DEMO-S000000009
RYSCALE-STU-000000010,RYSCALE-CON-000000010,DEMO-S000000010
RYSCALE-STU-000000011,RYSCALE-CON-000000011,DEMO-S000000011
RYSCALE-STU-000000012,RYSCALE-CON-000000012,DEMO-S000000012
RYSCALE-STU-000000013,RYSCALE-CON-000000013,DEMO-S000000013
RYSCALE-STU-000000014,RYSCALE-CON-000000014,DEMO-S000000014
RYSCALE-STU-000000015,RYSCALE-CON-000000015,DEMO-S000000015
RYSCALE-STU-000000016,RYSCALE-CON-000000016,DEMO-S000000016
RYSCALE-STU-000000017,RYSCALE-CON-000000017,DEMO-S000000017
RYSCALE-STU-000000018,RYSCALE-CON-000000018,DEMO-S000000018
RYSCALE-STU-000000019,RYSCALE-CON-000000019,DEMO-S000000019
RYSCALE-STU-000000020,RYSCALE-CON-000000020,DEMO-S000000020
RYSCALE-STU-000000021,RYSCALE-CON-000000021,DEMO-S000000021
RYSCALE-STU-000000022,RYSCALE-CON-000000022,DEMO-S000000022
RYSCALE-STU-000000023,RYSCALE-CON-000000023, demo-s000000023 
RYSCALE-STU-000000024,RYSCALE-CON-000000024,DEMO-S000000024
RYSCALE-STU-000000025,RYSCALE-CON-000000025,DEMO-S000000025
RYSCALE-STU-000000026,RYSCALE-CON-000000026,DEMO-S000000026
RYSCALE-STU-000000027,RYSCALE-CON-000000027,DEMO-S000000027
RYSCALE-STU-000000028,RYSCALE-CON-000000028,DEMO-S000000028
RYSCALE-STU-000000029,RYSCALE-CON-000000029,DEMO-S000000029
RYSCALE-STU-000000030,RYSCALE-CON-000000030,DEMO-S000000030
RYSCALE-STU-000000031,RYSCALE-CON-000000031,DEMO-S000000031
RYSCALE-STU-000000032,RYSCALE-CON-000000032,DEMO-S000000032
RYSCALE-STU-000000033,RYSCALE-CON-000000033,DEMO-S000000033
RYSCALE-STU-000000034,RYSCALE-CON-000000034,DEMO-S000000034
RYSCALE-STU-000000035,RYSCALE-CON-000000035,DEMO-S000000035
RYSCALE-STU-000000036,RYSCALE-CON-000000036,DEMO-S000000036
RYSCALE-STU-000000037,RYSCALE-CON-000000037,DEMO-S000000037
RYSCALE-STU-000000038,RYSCALE-CON-000000038,DEMO-S000000038
RYSCALE-STU-000000039,RYSCALE-CON-000000039,DEMO-S000000039
RYSCALE-STU-000000040,RYSCALE-CON-000000040,DEMO-S000000040
RYSCALE-STU-000000041,RYSCALE-CON-000000041,DEMO-S000000041
RYSCALE-STU-000000042,RYSCALE-CON-000000042,DEMO-S000000042
RYSCALE-STU-000000043,RYSCALE-CON-000000043,DEMO-S000000043
RYSCALE-STU-000000044,RYSCALE-CON-000000044,DEMO-S000000044
RYSCALE-STU-000000045,RYSCALE-CON-000000045,DEMO-S000000045
RYSCALE-STU-000000046,RYSCALE-CON-000000046, demo-s000000046 
RYSCALE-STU-000000047,RYSCALE-CON-000000047,DEMO-S000000047
RYSCALE-STU-000000048,RYSCALE-CON-000000048,DEMO-S000000048
RYSCALE-STU-000000049,RYSCALE-CON-000000049,DEMO-S000000049
RYSCALE-STU-000000050,RYSCALE-CON-000000050,DEMO-S000000050
RYSCALE-STU-000000051,RYSCALE-CON-000000051,DEMO-S000000051
RYSCALE-STU-000000052,RYSCALE-CON-000000052,DEMO-S000000052
RYSCALE-STU-000000053,RYSCALE-CON-000000053,DEMO-S000000053
RYSCALE-STU-000000054,RYSCALE-CON-000000054,DEMO-S000000054
RYSCALE-STU-000000055,RYSCALE-CON-000000055,DEMO-S000000055
RYSCALE-STU-000000056,RYSCALE-CON-000000056,DEMO-S000000056
RYSCALE-STU-000000057,RYSCALE-CON-000000057,DEMO-S000000057
RYSCALE-STU-000000058,RYSCALE-CON-000000058,DEMO-S000000058
RYSCALE-STU-000000059,RYSCALE-CON-000000059,DEMO-S000000059
RYSCALE-STU-000000060,RYSCALE-CON-000000060,DEMO-S000000060
RYSCALE-STU-000000061,RYSCALE-CON-000000061,DEMO-S000000061
RYSCALE-STU-000000062,RYSCALE-CON-000000062,DEMO-S000000062
RYSCALE-STU-000000063,RYSCALE-CON-000000063,DEMO-S000000063
RYSCALE-STU-000000064,RYSCALE-CON-000000064,DEMO-S000000064
RYSCALE-STU-000000065,RYSCALE-CON-000000065,DEMO-S000000065
RYSCALE-STU-000000066,RYSCALE-CON-000000066,DEMO-S000000066
RYSCALE-STU-000000067,RYSCALE-CON-000000067,DEMO-S000000067
RYSCALE-STU-000000068,RYSCALE-CON-000000068,DEMO-S000000068
RYSCALE-STU-000000069,RYSCALE-CON-000000069, demo-s000000069 
RYSCALE-STU-000000070,RYSCALE-CON-000000070,DEMO-S000000070
RYSCALE-STU-000000071,RYSCALE-CON-000000071,DEMO-S000000071
RYSCALE-STU-000000072,RYSCALE-CON-000000072,DEMO-S000000072
RYSCALE-STU-000000073,RYSCALE-CON-000000073,DEMO-S000000073
RYSCALE-STU-000000074,RYSCALE-CON-000000074,DEMO-S000000074
RYSCALE-STU-000000075,RYSCALE-CON-000000075,DEMO-S000000075
RYSCALE-STU-000000076,RYSCALE-CON-000000076,DEMO-S000000076
RYSCALE-STU-000000077,RYSCALE-CON-000000077,DEMO-S000000077
RYSCALE-STU-000000078,RYSCALE-CON-000000078,DEMO-S000000078
RYSCALE-STU-000000079,RYSCALE-CON-000000079,DEMO-S000000079
RYSCALE-STU-000000080,RYSCALE-CON-000000080,DEMO-S000000080
RYSCALE-STU-000000081,RYSCALE-CON-000000081,DEMO-S000000081
RYSCALE-STU-000000082,RYSCALE-CON-000000082,DEMO-S000000082
RYSCALE-STU-000000083,RYSCALE-CON-000000083,DEMO-S000000083
RYSCALE-STU-000000084,RYSCALE-CON-000000084,DEMO-S000000084
RYSCALE-STU-000000085,RYSCALE-CON-000000085,DEMO-S000000085
RYSCALE-STU-000000086,RYSCALE-CON-000000086,DEMO-S000000086
RYSCALE-STU-000000087,RYSCALE-CON-000000087,DEMO-S000000087
RYSCALE-STU-000000088,RYSCALE-CON-000000088,DEMO-S000000088
