source_id,filename,batch,basis,included,package_path
A01,codex-clipboard-59e7126e-7c23-4744-9a0d-cf777a6556e5.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A01_codex-clipboard-59e7126e-7c23-4744-9a0d-cf777a6556e5.png
A02,codex-clipboard-6d5646b9-d5df-4404-b069-e6a58a6465bd.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A02_codex-clipboard-6d5646b9-d5df-4404-b069-e6a58a6465bd.png
A03,codex-clipboard-a373b098-a694-4b07-9850-aa473c2b8516.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A03_codex-clipboard-a373b098-a694-4b07-9850-aa473c2b8516.png
A04,codex-clipboard-f9c5d2eb-ca98-4717-a593-78e738fc489f.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A04_codex-clipboard-f9c5d2eb-ca98-4717-a593-78e738fc489f.png
A05,codex-clipboard-83c9df33-4325-4012-bf47-2edca86e68c1.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A05_codex-clipboard-83c9df33-4325-4012-bf47-2edca86e68c1.png
A06,codex-clipboard-9ab6ca35-4b3c-4e31-aaf8-0b785ecbb657.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A06_codex-clipboard-9ab6ca35-4b3c-4e31-aaf8-0b785ecbb657.png
A07,codex-clipboard-1ae79cbb-5720-43b8-ae03-74a68e95297e.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A07_codex-clipboard-1ae79cbb-5720-43b8-ae03-74a68e95297e.png
A08,codex-clipboard-81a12309-6753-43eb-9a7c-478cebdb3641.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A08_codex-clipboard-81a12309-6753-43eb-9a7c-478cebdb3641.png
A09,codex-clipboard-ffb065a1-9fca-48d6-b926-3d8b88214726.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A09_codex-clipboard-ffb065a1-9fca-48d6-b926-3d8b88214726.png
A10,codex-clipboard-faed3cc6-aa37-4a99-a492-b1817e82f678.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A10_codex-clipboard-faed3cc6-aa37-4a99-a492-b1817e82f678.png
A11,codex-clipboard-db679a91-c14c-4d64-a500-6b1032e1f72a.png,Earlier 11 screenshots,User-provided screenshot; not live verified,yes,sources/images/A11_codex-clipboard-db679a91-c14c-4d64-a500-6b1032e1f72a.png
B01,codex-clipboard-0376d102-fedd-4820-949a-614ede45a0c6.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B01_codex-clipboard-0376d102-fedd-4820-949a-614ede45a0c6.png
B02,codex-clipboard-4044dfbc-3d5b-4643-aec6-4dc470a2c46f.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B02_codex-clipboard-4044dfbc-3d5b-4643-aec6-4dc470a2c46f.png
B03,codex-clipboard-55b98147-7b28-4ba3-88b1-1a274299e31a.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B03_codex-clipboard-55b98147-7b28-4ba3-88b1-1a274299e31a.png
B04,codex-clipboard-e0bb78d1-958c-4df6-ac29-f5f0f7e4e939.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B04_codex-clipboard-e0bb78d1-958c-4df6-ac29-f5f0f7e4e939.png
B05,codex-clipboard-ffc3aa1e-f55f-411a-bcc5-e18b701769c7.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B05_codex-clipboard-ffc3aa1e-f55f-411a-bcc5-e18b701769c7.png
B06,codex-clipboard-12cbc0e6-32f8-4eda-804b-1662b9d10d4f.png,Latest 6 screenshots,User-provided screenshot; not live verified,yes,sources/images/B06_codex-clipboard-12cbc0e6-32f8-4eda-804b-1662b9d10d4f.png
